Gene,albidoflavus_J1074_R2,Sign
group_3444,MBMJMBDD_05150,+
group_3445,MBMJMBDD_05151,+
draG,MBMJMBDD_05159,+
group_3447,MBMJMBDD_05160,+
group_3448,MBMJMBDD_05162,+
plsC_1,MBMJMBDD_05164,+
group_3450,MBMJMBDD_05166,-
mshA_4,MBMJMBDD_05169,+
group_3452,MBMJMBDD_05170,+
group_3453,MBMJMBDD_05171,+
group_3454,MBMJMBDD_05174,-
qacA_6,MBMJMBDD_05175,+
group_3456,MBMJMBDD_05177,+
glnH_3,MBMJMBDD_05178,-
group_3458,MBMJMBDD_05180,+
glnQ_4,MBMJMBDD_05182,+
fliA,MBMJMBDD_01971,+
ntaA,MBMJMBDD_05185,+
sprB,MBMJMBDD_05187,+
sprD,MBMJMBDD_05189,+
dinB1_1,MBMJMBDD_05192,+
group_3464,MBMJMBDD_05193,+
gbpA_3,MBMJMBDD_05194,-
group_3466,MBMJMBDD_05195,-
ytrA_5,MBMJMBDD_05197,+
group_3468,MBMJMBDD_05199,+
group_3469,MBMJMBDD_05202,-
rpoD,MBMJMBDD_02935,+
group_3470,MBMJMBDD_05203,-
group_3471,MBMJMBDD_05204,-
group_3472,MBMJMBDD_05205,-
group_3473,MBMJMBDD_05207,-
group_3474,MBMJMBDD_05209,+
group_3475,MBMJMBDD_05212,-
nagR_4,MBMJMBDD_05213,-
hmgA_2,MBMJMBDD_05214,-
group_3479,MBMJMBDD_05226,-
COQ3_2,MBMJMBDD_02002,-
ettA_4,MBMJMBDD_05230,+
lcfB_2,MBMJMBDD_05233,+
group_3482,MBMJMBDD_05236,-
group_3483,MBMJMBDD_05237,+
group_3484,MBMJMBDD_05238,-
yfcD_2,MBMJMBDD_05240,-
group_3486,MBMJMBDD_05242,-
group_3487,MBMJMBDD_05243,+
cmlA,MBMJMBDD_05244,+
group_3489,MBMJMBDD_05250,-
group_349,MBMJMBDD_02033,-
group_3490,MBMJMBDD_05251,+
group_3491,MBMJMBDD_05257,+
recD2_2,MBMJMBDD_05258,-
yajO_3,MBMJMBDD_05259,-
group_3494,MBMJMBDD_05261,+
pspA,MBMJMBDD_05263,+
group_3496,MBMJMBDD_05265,+
group_3497,MBMJMBDD_05267,-
glpD,MBMJMBDD_05269,-
glpF,MBMJMBDD_05271,-
group_3500,MBMJMBDD_05275,+
group_3501,MBMJMBDD_05277,-
group_3502,MBMJMBDD_05288,+
pafA,MBMJMBDD_05289,+
group_3504,MBMJMBDD_05295,+
dagK,MBMJMBDD_05298,+
ptlI,MBMJMBDD_05300,+
group_3507,MBMJMBDD_05306,-
group_3508,MBMJMBDD_05307,-
rskA,MBMJMBDD_05309,-
group_351,MBMJMBDD_02040,-
sigK,MBMJMBDD_05310,-
group_3511,MBMJMBDD_05311,-
opuAA_2,MBMJMBDD_05313,+
group_3513,MBMJMBDD_05314,+
group_3514,MBMJMBDD_05318,-
lldR_2,MBMJMBDD_05320,-
feaB,MBMJMBDD_05322,+
group_3517,MBMJMBDD_05326,+
group_3518,MBMJMBDD_05327,+
group_3519,MBMJMBDD_05328,+
aqpZ,MBMJMBDD_05329,+
group_3521,MBMJMBDD_05330,-
group_3522,MBMJMBDD_05335,+
pheT,MBMJMBDD_05338,+
group_3524,MBMJMBDD_05344,-
group_3525,MBMJMBDD_05345,+
group_3526,MBMJMBDD_05346,+
group_3527,MBMJMBDD_05351,+
group_3528,MBMJMBDD_05352,+
group_3529,MBMJMBDD_05354,-
pspB,MBMJMBDD_02049,+
group_3531,MBMJMBDD_05357,+
group_3532,MBMJMBDD_05358,-
folD_2,MBMJMBDD_05359,+
group_3534,MBMJMBDD_05362,-
argC,MBMJMBDD_05367,+
group_3537,MBMJMBDD_05374,+
ydfJ_3,MBMJMBDD_05375,+
panS,MBMJMBDD_05376,-
group_3540,MBMJMBDD_05377,-
group_3541,MBMJMBDD_05380,-
group_3542,MBMJMBDD_05385,+
vldH,MBMJMBDD_05389,+
metP,MBMJMBDD_05391,+
metQ,MBMJMBDD_05393,+
cobT_2,MBMJMBDD_05396,+
group_3547,MBMJMBDD_05398,+
group_3548,MBMJMBDD_05400,+
group_3549,MBMJMBDD_05403,+
pip_2,MBMJMBDD_02051,+
dat_2,MBMJMBDD_05411,+
mshD_5,MBMJMBDD_05412,+
group_3552,MBMJMBDD_05413,-
group_3553,MBMJMBDD_05414,+
group_3554,MBMJMBDD_05416,-
group_3555,MBMJMBDD_05418,+
group_3556,MBMJMBDD_05422,-
group_3557,MBMJMBDD_05423,-
group_3558,MBMJMBDD_05425,-
group_3559,MBMJMBDD_05431,+
lcpB_2,MBMJMBDD_02053,-
pdxT,MBMJMBDD_05433,+
ruvB_1,MBMJMBDD_05437,+
apt,MBMJMBDD_05441,+
group_3563,MBMJMBDD_05446,+
group_3564,MBMJMBDD_05452,+
aroE,MBMJMBDD_05456,+
group_3566,MBMJMBDD_05460,+
pyrR,MBMJMBDD_05465,+
group_3568,MBMJMBDD_05468,+
group_3569,MBMJMBDD_05483,-
group_3570,MBMJMBDD_05487,+
group_3572,MBMJMBDD_05494,-
ramA_3,MBMJMBDD_05497,+
group_3574,MBMJMBDD_05503,+
ybjJ_5,MBMJMBDD_05504,-
nagC_4,MBMJMBDD_05505,+
ribD,MBMJMBDD_05507,+
ribE,MBMJMBDD_05508,+
group_3579,MBMJMBDD_05514,+
tap_4,MBMJMBDD_02122,-
group_3580,MBMJMBDD_05516,-
chiC,MBMJMBDD_05518,-
glpQ_4,MBMJMBDD_05527,-
group_3583,MBMJMBDD_05528,-
group_3584,MBMJMBDD_05533,+
group_3585,MBMJMBDD_05535,+
group_3586,MBMJMBDD_05536,+
group_3587,MBMJMBDD_05537,+
group_3588,MBMJMBDD_05538,-
group_3589,MBMJMBDD_05540,-
group_3590,MBMJMBDD_05541,+
group_3591,MBMJMBDD_05543,+
vanX,MBMJMBDD_05546,-
group_3593,MBMJMBDD_05547,+
group_3594,MBMJMBDD_05548,+
group_3595,MBMJMBDD_05551,+
group_3596,MBMJMBDD_05563,+
dinB1_2,MBMJMBDD_05566,+
group_3598,MBMJMBDD_05567,-
group_3599,MBMJMBDD_05570,-
group_360,MBMJMBDD_02125,-
group_3600,MBMJMBDD_05572,-
phzF,MBMJMBDD_05574,-
group_3602,MBMJMBDD_05577,+
group_3603,MBMJMBDD_05578,+
group_3604,MBMJMBDD_05579,+
group_3605,MBMJMBDD_05581,-
group_3606,MBMJMBDD_05583,-
oxyR_2,MBMJMBDD_05584,+
rcp1_1,MBMJMBDD_05586,+
cph1,MBMJMBDD_05587,-
group_361,MBMJMBDD_02145,+
tetR,MBMJMBDD_05588,-
nylA_2,MBMJMBDD_05589,+
group_3612,MBMJMBDD_05590,-
dppE_2,MBMJMBDD_05596,+
group_3614,MBMJMBDD_05598,+
group_3615,MBMJMBDD_05600,-
auaG,MBMJMBDD_05601,+
group_3617,MBMJMBDD_05604,-
group_3618,MBMJMBDD_05605,+
speA,MBMJMBDD_05607,+
group_3620,MBMJMBDD_05608,-
uppP,MBMJMBDD_05609,-
group_3622,MBMJMBDD_05610,-
group_3623,MBMJMBDD_05611,-
group_3624,MBMJMBDD_05612,-
tuf_2,MBMJMBDD_05613,+
group_3626,MBMJMBDD_05614,+
argO,MBMJMBDD_05617,-
group_3628,MBMJMBDD_05618,+
speE_3,MBMJMBDD_05620,+
group_3630,MBMJMBDD_05621,-
group_3631,MBMJMBDD_05624,+
sutR_2,MBMJMBDD_05627,+
yccU,MBMJMBDD_05628,-
group_3634,MBMJMBDD_05630,-
group_3635,MBMJMBDD_05635,+
sbcD,MBMJMBDD_05637,+
group_3637,MBMJMBDD_05638,+
group_3638,MBMJMBDD_05641,+
mgl,MBMJMBDD_05644,+
group_364,MBMJMBDD_02281,+
group_3640,MBMJMBDD_05645,-
group_3641,MBMJMBDD_05647,-
group_3642,MBMJMBDD_05651,+
ypeA,MBMJMBDD_05658,+
yheS_2,MBMJMBDD_05659,+
yheS_3,MBMJMBDD_05660,+
bioD,MBMJMBDD_05662,-
bioF_1,MBMJMBDD_05665,+
group_3648,MBMJMBDD_05666,-
group_3649,MBMJMBDD_05667,-
group_365,MBMJMBDD_02288,+
ureA_3,MBMJMBDD_05672,+
ureF_2,MBMJMBDD_05675,+
group_3652,MBMJMBDD_05679,-
group_3653,MBMJMBDD_05681,+
group_3654,MBMJMBDD_05684,-
udgB,MBMJMBDD_05687,+
tauD,MBMJMBDD_05688,+
stp_5,MBMJMBDD_05689,+
btuD_24,MBMJMBDD_05692,-
def_2,MBMJMBDD_05699,+
ramA_2,MBMJMBDD_02334,-
group_3660,MBMJMBDD_05702,+
group_3661,MBMJMBDD_05703,-
group_3662,MBMJMBDD_05707,-
group_3663,MBMJMBDD_05710,+
ycjP_2,MBMJMBDD_05711,+
bglA_3,MBMJMBDD_05712,+
group_3666,MBMJMBDD_05715,+
group_3667,MBMJMBDD_05716,-
group_3668,MBMJMBDD_05718,-
gloB_3,MBMJMBDD_05719,-
sasA_9,MBMJMBDD_05722,+
group_3671,MBMJMBDD_05725,+
sigJ_2,MBMJMBDD_05729,-
group_3673,MBMJMBDD_05732,+
group_3674,MBMJMBDD_05733,+
group_3676,MBMJMBDD_05743,-
group_3677,MBMJMBDD_05745,+
group_3678,MBMJMBDD_05746,-
group_3679,MBMJMBDD_05747,+
ramC_1,MBMJMBDD_02336,-
mutM,MBMJMBDD_05748,+
group_3681,MBMJMBDD_05753,-
group_3682,MBMJMBDD_05754,+
group_3683,MBMJMBDD_05755,-
group_3684,MBMJMBDD_05756,-
group_3685,MBMJMBDD_05758,+
group_3686,MBMJMBDD_05760,+
group_3687,MBMJMBDD_05763,+
fgd_6,MBMJMBDD_05769,-
egtA,MBMJMBDD_05776,-
group_3690,MBMJMBDD_05778,-
pdhD_2,MBMJMBDD_05780,+
group_3692,MBMJMBDD_05781,-
ycdX,MBMJMBDD_05786,+
group_3694,MBMJMBDD_05787,+
carA2,MBMJMBDD_05788,+
pds,MBMJMBDD_05793,-
group_3697,MBMJMBDD_05794,-
group_3698,MBMJMBDD_05795,+
group_3699,MBMJMBDD_05796,-
group_370,MBMJMBDD_02343,+
rosB,MBMJMBDD_05797,+
rpsR1_2,MBMJMBDD_05798,-
yciC_2,MBMJMBDD_05799,-
rpsN,MBMJMBDD_05803,+
group_3704,MBMJMBDD_05804,+
adhA,MBMJMBDD_05806,+
subB,MBMJMBDD_05807,-
mycG_2,MBMJMBDD_05808,-
emrB,MBMJMBDD_05809,-
group_3709,MBMJMBDD_05810,+
group_3711,MBMJMBDD_05817,+
npt,MBMJMBDD_05818,-
group_3713,MBMJMBDD_05819,-
papA3,MBMJMBDD_05821,+
group_3715,MBMJMBDD_05822,-
group_3716,MBMJMBDD_05823,-
group_3717,MBMJMBDD_05837,+
group_3718,MBMJMBDD_05841,-
fimA,MBMJMBDD_05842,-
group_3720,MBMJMBDD_05843,-
mntB_1,MBMJMBDD_05844,-
mntB_2,MBMJMBDD_05845,+
guaD,MBMJMBDD_05846,-
group_3724,MBMJMBDD_05848,-
group_3725,MBMJMBDD_05849,-
group_3726,MBMJMBDD_05852,-
group_3727,MBMJMBDD_05854,-
group_3728,MBMJMBDD_05855,-
pduF,MBMJMBDD_05857,-
entS_7,MBMJMBDD_05858,-
group_3732,MBMJMBDD_05860,+
group_3733,MBMJMBDD_05861,+
group_3734,MBMJMBDD_05862,-
pxpB,MBMJMBDD_05864,+
pxpC,MBMJMBDD_05865,+
group_3737,MBMJMBDD_05871,+
hmuU,MBMJMBDD_05872,+
yusV_2,MBMJMBDD_05874,+
ydhP_1,MBMJMBDD_02379,+
cocE,MBMJMBDD_05877,+
group_3741,MBMJMBDD_05878,+
btuD_25,MBMJMBDD_05880,+
msrA3,MBMJMBDD_05882,-
ysnE,MBMJMBDD_05883,+
maa,MBMJMBDD_05884,+
group_3746,MBMJMBDD_05885,-
rppH_3,MBMJMBDD_05888,-
group_375,MBMJMBDD_02426,-
group_3750,MBMJMBDD_05898,-
fabG_6,MBMJMBDD_05909,-
osmX_2,MBMJMBDD_05915,+
pip_3,MBMJMBDD_05917,+
mca_2,MBMJMBDD_05918,+
qorA_2,MBMJMBDD_05920,+
group_3757,MBMJMBDD_05922,+
appA,MBMJMBDD_05923,+
oppD_6,MBMJMBDD_05926,+
group_3760,MBMJMBDD_05931,-
group_3762,MBMJMBDD_05942,-
group_3763,MBMJMBDD_05944,-
group_3764,MBMJMBDD_05945,-
group_3765,MBMJMBDD_05946,-
group_3766,MBMJMBDD_05948,-
hcaB_4,MBMJMBDD_05949,-
group_3768,MBMJMBDD_05950,+
group_3769,MBMJMBDD_05951,+
group_3770,MBMJMBDD_05952,+
drrB_4,MBMJMBDD_05963,-
drrA_8,MBMJMBDD_05964,-
menF_3,MBMJMBDD_05966,-
pikAV_1,MBMJMBDD_05967,-
group_3775,MBMJMBDD_05976,+
mglA_3,MBMJMBDD_05979,-
group_3777,MBMJMBDD_05980,-
group_3778,MBMJMBDD_05982,-
paaE_2,MBMJMBDD_05986,-
group_378,MBMJMBDD_02502,+
paaD,MBMJMBDD_05987,-
paaC_2,MBMJMBDD_05988,-
paaA_2,MBMJMBDD_05990,-
group_3783,MBMJMBDD_05991,+
group_3784,MBMJMBDD_05994,-
group_3785,MBMJMBDD_05996,+
group_3786,MBMJMBDD_06001,+
afsR_4,MBMJMBDD_06004,+
ramC_2,MBMJMBDD_06005,-
entS_8,MBMJMBDD_06006,-
group_379,MBMJMBDD_03071,+
group_3790,MBMJMBDD_06007,-
group_3791,MBMJMBDD_06008,+
group_3792,MBMJMBDD_06009,+
group_3793,MBMJMBDD_06010,+
group_3794,MBMJMBDD_06011,+
group_3795,MBMJMBDD_06016,+
cysQ,MBMJMBDD_00478,-
group_3801,MBMJMBDD_05764,+
group_3802,MBMJMBDD_05972,+
group_381,MBMJMBDD_02587,+
ygfF_1,MBMJMBDD_02670,+
ygfF_2,MBMJMBDD_03919,+
group_386,MBMJMBDD_02713,-
mtgA_2,MBMJMBDD_02737,+
group_3901,MBMJMBDD_00207,-
btuD_2,MBMJMBDD_00348,+
group_3903,MBMJMBDD_00477,+
group_3904,MBMJMBDD_00515,-
dhpH_1,MBMJMBDD_00627,+
group_3907,MBMJMBDD_00769,-
group_3908,MBMJMBDD_00928,-
group_3909,MBMJMBDD_00999,-
group_391,MBMJMBDD_02744,-
oppD_2,MBMJMBDD_01140,+
group_3911,MBMJMBDD_01210,-
group_3912,MBMJMBDD_01334,-
group_3914,MBMJMBDD_01557,-
group_3915,MBMJMBDD_01612,-
group_3916,MBMJMBDD_01634,-
cshA,MBMJMBDD_01641,+
group_3918,MBMJMBDD_01747,+
group_392,MBMJMBDD_02785,+
group_3921,MBMJMBDD_02088,-
moaE2_2,MBMJMBDD_02134,-
group_3925,MBMJMBDD_02146,+
kshA,MBMJMBDD_02220,-
group_3928,MBMJMBDD_02232,+
group_3929,MBMJMBDD_02244,-
group_393,MBMJMBDD_02788,+
accA1_1,MBMJMBDD_02277,-
ramR,MBMJMBDD_02332,+
group_3932,MBMJMBDD_02366,-
tagU_5,MBMJMBDD_02627,+
group_3934,MBMJMBDD_02649,+
ycnI,MBMJMBDD_02964,+
group_3937,MBMJMBDD_03187,-
group_3938,MBMJMBDD_03213,-
group_3943,MBMJMBDD_03437,+
drrA_4,MBMJMBDD_03448,-
group_3945,MBMJMBDD_03510,+
group_3947,MBMJMBDD_03633,-
group_3948,MBMJMBDD_03706,+
group_3953,MBMJMBDD_03813,-
group_3955,MBMJMBDD_03892,-
group_3956,MBMJMBDD_03908,+
betP_2,MBMJMBDD_03928,+
group_3958,MBMJMBDD_03935,+
group_3959,MBMJMBDD_03963,+
group_3969,MBMJMBDD_04390,-
cpdA_2,MBMJMBDD_02879,+
group_3973,MBMJMBDD_04456,+
dus,MBMJMBDD_04520,+
group_3975,MBMJMBDD_04526,+
iolS_3,MBMJMBDD_04618,+
gadA_2,MBMJMBDD_04701,-
group_3979,MBMJMBDD_04714,+
group_3980,MBMJMBDD_04773,-
group_3981,MBMJMBDD_04846,-
cmoM_3,MBMJMBDD_04880,+
vatD,MBMJMBDD_05231,+
prcA,MBMJMBDD_05286,+
group_3986,MBMJMBDD_05372,+
secD,MBMJMBDD_05439,+
mltG_2,MBMJMBDD_05455,+
group_3989,MBMJMBDD_05524,+
group_399,MBMJMBDD_02887,-
btuD_23,MBMJMBDD_05685,-
dltA_8,MBMJMBDD_06020,+
group_4,MBMJMBDD_03445,+
catJ,MBMJMBDD_00218,+
yfeX,MBMJMBDD_02912,-
lap,MBMJMBDD_02924,+
ydgJ,MBMJMBDD_01754,+
group_4032,MBMJMBDD_02085,-
group_4046,MBMJMBDD_02389,+
group_405,MBMJMBDD_02949,+
group_406,MBMJMBDD_02999,+
group_407,MBMJMBDD_03075,+
mobA,MBMJMBDD_03105,+
group_409,MBMJMBDD_03110,+
yheI_1,MBMJMBDD_00173,+
group_413,MBMJMBDD_03125,+
btuD_16,MBMJMBDD_03192,+
group_417,MBMJMBDD_03206,+
group_418,MBMJMBDD_03221,+
group_422,MBMJMBDD_03236,+
group_423,MBMJMBDD_03260,-
speE_1,MBMJMBDD_03287,+
group_428,MBMJMBDD_03321,-
opuCA_2,MBMJMBDD_03535,-
group_431,MBMJMBDD_03367,+
group_432,MBMJMBDD_03431,+
qacA_4,MBMJMBDD_03497,-
tilS,MBMJMBDD_03526,+
group_438,MBMJMBDD_03541,+
lgrD_2,MBMJMBDD_03544,-
dltA_1,MBMJMBDD_00201,-
dltA_3,MBMJMBDD_03545,-
cseA,MBMJMBDD_03585,-
group_446,MBMJMBDD_03595,+
eis_1,MBMJMBDD_03622,-
group_449,MBMJMBDD_03680,+
group_455,MBMJMBDD_03860,+
group_456,MBMJMBDD_03863,+
group_457,MBMJMBDD_03874,-
group_458,MBMJMBDD_03879,-
group_459,MBMJMBDD_03916,-
group_460,MBMJMBDD_03923,+
group_461,MBMJMBDD_03926,+
group_463,MBMJMBDD_03929,+
group_464,MBMJMBDD_03930,+
group_467,MBMJMBDD_04003,-
egtB_2,MBMJMBDD_04064,+
group_469,MBMJMBDD_04155,+
tet(X)_2,MBMJMBDD_04204,+
group_474,MBMJMBDD_04262,-
group_477,MBMJMBDD_04297,+
accA1_2,MBMJMBDD_04309,-
afsR_3,MBMJMBDD_04347,-
murK_2,MBMJMBDD_04384,-
malQ,MBMJMBDD_04392,+
group_485,MBMJMBDD_04614,+
group_486,MBMJMBDD_04637,-
ykoD,MBMJMBDD_04658,-
chpD,MBMJMBDD_02157,+
mdtD_5,MBMJMBDD_04668,-
group_491,MBMJMBDD_04700,-
group_494,MBMJMBDD_04767,+
cobV,MBMJMBDD_04803,-
pld,MBMJMBDD_04910,-
group_5,MBMJMBDD_02442,+
group_50,MBMJMBDD_02158,+
group_501,MBMJMBDD_05006,+
dapD,MBMJMBDD_05043,+
group_505,MBMJMBDD_05049,-
group_506,MBMJMBDD_05190,-
group_508,MBMJMBDD_05198,-
chpC,MBMJMBDD_05255,+
group_510,MBMJMBDD_05211,-
group_512,MBMJMBDD_05241,-
corA_2,MBMJMBDD_05262,-
group_518,MBMJMBDD_05316,-
group_520,MBMJMBDD_05379,+
lfrA_2,MBMJMBDD_05382,+
group_523,MBMJMBDD_05549,-
group_524,MBMJMBDD_05561,+
group_526,MBMJMBDD_05585,+
yceM,MBMJMBDD_05602,+
group_530,MBMJMBDD_05615,+
nimR_2,MBMJMBDD_05634,-
glpE,MBMJMBDD_05640,+
group_534,MBMJMBDD_05652,+
eis_3,MBMJMBDD_05678,-
hldE,MBMJMBDD_05691,-
group_538,MBMJMBDD_05728,+
group_540,MBMJMBDD_05759,-
group_541,MBMJMBDD_05770,+
group_542,MBMJMBDD_05870,-
hmp_2,MBMJMBDD_05954,-
group_546,MBMJMBDD_05955,+
fadA_3,MBMJMBDD_05961,+
menE,MBMJMBDD_05965,-
dltA_6,MBMJMBDD_05995,-
group_553,MBMJMBDD_06000,-
group_5710,MBMJMBDD_03619,+
glnB_1,MBMJMBDD_01225,-
rpsE,MBMJMBDD_03842,+
hup,MBMJMBDD_01847,-
group_5714,MBMJMBDD_04214,+
group_5715,MBMJMBDD_00431,+
group_5716,MBMJMBDD_03736,+
group_5717,MBMJMBDD_02395,-
rplN,MBMJMBDD_03835,+
coaX,MBMJMBDD_03574,+
group_5720,MBMJMBDD_02345,-
betI_5,MBMJMBDD_01637,+
group_5722,MBMJMBDD_02600,+
group_5723,MBMJMBDD_04529,+
inhA_2,MBMJMBDD_05108,+
rpmJ,MBMJMBDD_03849,+
degU_4,MBMJMBDD_03900,+
glnQ_1,MBMJMBDD_00498,-
livH_2,MBMJMBDD_04973,-
gltA2,MBMJMBDD_04329,+
rpsZ,MBMJMBDD_03838,+
whiB1,MBMJMBDD_01570,+
group_5732,MBMJMBDD_01276,+
folE,MBMJMBDD_03529,+
rpsT,MBMJMBDD_04474,-
rpsI,MBMJMBDD_03857,+
rpoA,MBMJMBDD_03852,+
infA,MBMJMBDD_03848,+
afsQ1,MBMJMBDD_04093,-
pfkA2_1,MBMJMBDD_01410,-
rbfA,MBMJMBDD_01146,-
group_5744,MBMJMBDD_03227,-
psd,MBMJMBDD_00458,+
group_5746,MBMJMBDD_03681,-
group_5747,MBMJMBDD_05454,+
asnC_3,MBMJMBDD_05496,+
rpsH,MBMJMBDD_03839,+
group_5750,MBMJMBDD_03384,+
group_5751,MBMJMBDD_03055,+
ctaE,MBMJMBDD_04828,+
hiuH,MBMJMBDD_00634,-
group_5754,MBMJMBDD_05560,+
ybiT_2,MBMJMBDD_05080,+
group_5756,MBMJMBDD_04005,+
group_5757,MBMJMBDD_03785,+
group_5758,MBMJMBDD_05785,-
ssgB_4,MBMJMBDD_05417,-
pgsA2_2,MBMJMBDD_05557,+
group_5761,MBMJMBDD_03827,+
gdx_1,MBMJMBDD_01594,+
mlaE,MBMJMBDD_00937,-
group_5764,MBMJMBDD_00936,-
hrdB_2,MBMJMBDD_02148,-
kipR,MBMJMBDD_01818,-
whiB_4,MBMJMBDD_04235,+
group_5768,MBMJMBDD_03081,+
rplU,MBMJMBDD_04441,+
azoB_2,MBMJMBDD_02672,+
group_5771,MBMJMBDD_04221,-
yqeY,MBMJMBDD_02738,-
lrp,MBMJMBDD_05521,+
secE,MBMJMBDD_03801,+
group_5775,MBMJMBDD_01451,-
era,MBMJMBDD_04506,+
rpsB,MBMJMBDD_01202,-
ung_2,MBMJMBDD_05597,+
group_5781,MBMJMBDD_03096,+
group_5782,MBMJMBDD_01677,-
group_5783,MBMJMBDD_05154,+
group_5784,MBMJMBDD_04419,+
group_5785,MBMJMBDD_03047,-
group_5786,MBMJMBDD_04744,+
rbpA_1,MBMJMBDD_05022,+
regX3_3,MBMJMBDD_02573,-
purS,MBMJMBDD_02895,-
group_5790,MBMJMBDD_05281,-
rpsL,MBMJMBDD_03816,+
whiB_1,MBMJMBDD_01617,-
group_5793,MBMJMBDD_00757,-
rpmF_2,MBMJMBDD_01237,-
sufC,MBMJMBDD_05039,+
group_5796,MBMJMBDD_00180,-
group_5797,MBMJMBDD_04613,-
cspA,MBMJMBDD_02398,-
group_5799,MBMJMBDD_02289,+
group_58,MBMJMBDD_00133,-
group_5800,MBMJMBDD_04627,+
group_5801,MBMJMBDD_01024,-
group_5802,MBMJMBDD_06002,+
rpmA,MBMJMBDD_04442,+
trkA_1,MBMJMBDD_00997,+
group_5805,MBMJMBDD_01188,+
spo0M,MBMJMBDD_05129,-
suaB,MBMJMBDD_05968,-
crgA,MBMJMBDD_03079,-
group_5809,MBMJMBDD_03276,+
group_5810,MBMJMBDD_00352,-
rpsD,MBMJMBDD_05450,+
glkA_2,MBMJMBDD_04853,+
group_5813,MBMJMBDD_02771,-
group_5814,MBMJMBDD_02764,-
hisN,MBMJMBDD_01596,+
group_5816,MBMJMBDD_03786,-
secG,MBMJMBDD_05021,+
group_5818,MBMJMBDD_05042,+
ung_1,MBMJMBDD_00110,-
group_5820,MBMJMBDD_01135,+
group_5821,MBMJMBDD_02994,-
arc,MBMJMBDD_05282,+
nuoB,MBMJMBDD_03727,+
group_5824,MBMJMBDD_00459,+
rplR,MBMJMBDD_03841,+
group_5826,MBMJMBDD_04808,+
group_5827,MBMJMBDD_05564,+
group_5828,MBMJMBDD_05256,-
group_5829,MBMJMBDD_01946,-
pafC,MBMJMBDD_05293,+
rpmC,MBMJMBDD_03833,+
group_5832,MBMJMBDD_05302,+
group_5833,MBMJMBDD_03668,+
group_5834,MBMJMBDD_01274,+
group_5835,MBMJMBDD_02111,-
group_5836,MBMJMBDD_05294,+
rpsQ,MBMJMBDD_03834,+
group_5838,MBMJMBDD_04817,+
sdhC,MBMJMBDD_04032,-
griR_2,MBMJMBDD_03054,+
phoP,MBMJMBDD_04263,+
rpsK,MBMJMBDD_03851,+
femX,MBMJMBDD_03029,+
rplX,MBMJMBDD_03836,+
rpmE,MBMJMBDD_01477,-
murR,MBMJMBDD_02387,+
rlmN,MBMJMBDD_01197,-
group_5848,MBMJMBDD_01273,+
group_5849,MBMJMBDD_01209,-
mhuD,MBMJMBDD_04653,-
infB,MBMJMBDD_01148,-
dapb3,MBMJMBDD_02674,-
group_5853,MBMJMBDD_01045,+
atpF,MBMJMBDD_01468,-
group_5855,MBMJMBDD_01662,-
frr,MBMJMBDD_01199,-
lexA,MBMJMBDD_01064,+
pdhD_1,MBMJMBDD_04801,-
rpsS,MBMJMBDD_03829,+
group_5860,MBMJMBDD_00251,-
group_5861,MBMJMBDD_01011,-
paaB_1,MBMJMBDD_02168,+
rpmE2_1,MBMJMBDD_00323,+
prs,MBMJMBDD_02065,+
group_5865,MBMJMBDD_02251,-
ino1,MBMJMBDD_03034,+
group_5867,MBMJMBDD_01220,-
bkdB_2,MBMJMBDD_03116,+
group_5869,MBMJMBDD_01640,-
groS_2,MBMJMBDD_03895,+
group_5871,MBMJMBDD_03420,-
ramS,MBMJMBDD_02335,-
kefF,MBMJMBDD_02673,+
group_5874,MBMJMBDD_05562,+
ephA,MBMJMBDD_02725,+
rplP,MBMJMBDD_03832,+
group_5877,MBMJMBDD_01508,-
rpsR1_1,MBMJMBDD_03025,-
thrC,MBMJMBDD_01481,-
secY,MBMJMBDD_03845,+
group_5881,MBMJMBDD_01937,-
rplB,MBMJMBDD_03828,+
gatD,MBMJMBDD_05697,-
group_5884,MBMJMBDD_03432,+
group_5885,MBMJMBDD_05434,+
group_5886,MBMJMBDD_02925,+
rpsJ,MBMJMBDD_03824,+
lrpC_1,MBMJMBDD_03665,+
group_5889,MBMJMBDD_03198,+
hisB,MBMJMBDD_04925,+
group_5891,MBMJMBDD_04454,+
group_5892,MBMJMBDD_01100,-
pup,MBMJMBDD_05284,+
group_5894,MBMJMBDD_04839,-
fabG_5,MBMJMBDD_05595,+
group_5896,MBMJMBDD_05473,+
rpmI,MBMJMBDD_05332,+
trxC,MBMJMBDD_05779,-
ftsX,MBMJMBDD_01863,-
rhaR_1,MBMJMBDD_00137,-
group_5900,MBMJMBDD_05802,+
ppa,MBMJMBDD_03522,-
cheB_2,MBMJMBDD_01117,-
group_5903,MBMJMBDD_05464,-
group_5904,MBMJMBDD_03618,+
hpt,MBMJMBDD_03527,+
group_5906,MBMJMBDD_02758,-
crp_1,MBMJMBDD_02729,+
rplE,MBMJMBDD_03837,+
group_5909,MBMJMBDD_01691,-
group_5910,MBMJMBDD_04900,+
rplF,MBMJMBDD_03840,+
group_5912,MBMJMBDD_02889,+
prr_2,MBMJMBDD_01187,-
algU,MBMJMBDD_05997,+
group_5915,MBMJMBDD_01238,-
ftsE,MBMJMBDD_01864,-
etfB,MBMJMBDD_00085,-
group_5918,MBMJMBDD_02210,+
fabG1,MBMJMBDD_05107,+
ydcV,MBMJMBDD_01176,-
