Gene,albidoflavus_SM254,Sign
group_3445,NDLJOBPC_05287,+
draG,NDLJOBPC_05295,+
group_3447,NDLJOBPC_05296,+
group_3448,NDLJOBPC_05298,+
plsC_1,NDLJOBPC_05300,+
group_3450,NDLJOBPC_05302,-
mshA_4,NDLJOBPC_05305,+
group_3452,NDLJOBPC_05306,+
group_3453,NDLJOBPC_05307,+
group_3454,NDLJOBPC_05310,-
qacA_6,NDLJOBPC_05311,+
group_3456,NDLJOBPC_05313,+
glnH_3,NDLJOBPC_05314,-
group_3458,NDLJOBPC_05316,+
glnQ_4,NDLJOBPC_05318,+
fliA,NDLJOBPC_02214,+
ntaA,NDLJOBPC_05321,+
sprB,NDLJOBPC_05323,+
sprD,NDLJOBPC_05325,+
dinB1_1,NDLJOBPC_05328,+
group_3464,NDLJOBPC_05329,+
gbpA_3,NDLJOBPC_05330,-
group_3466,NDLJOBPC_05331,-
ytrA_5,NDLJOBPC_05333,+
group_3468,NDLJOBPC_05336,+
group_3469,NDLJOBPC_05341,-
rpoD,NDLJOBPC_03079,+
group_3470,NDLJOBPC_05342,-
group_3471,NDLJOBPC_05343,-
group_3472,NDLJOBPC_05344,-
group_3473,NDLJOBPC_05346,-
group_3474,NDLJOBPC_05348,+
group_3475,NDLJOBPC_05351,-
nagR_4,NDLJOBPC_05352,-
hmgA_2,NDLJOBPC_05353,-
group_3479,NDLJOBPC_05365,-
COQ3_2,NDLJOBPC_02245,-
ettA_4,NDLJOBPC_05369,+
lcfB_2,NDLJOBPC_05372,+
group_3482,NDLJOBPC_05375,-
group_3483,NDLJOBPC_05376,+
group_3484,NDLJOBPC_05377,-
yfcD_2,NDLJOBPC_05379,-
group_3486,NDLJOBPC_05381,-
group_3487,NDLJOBPC_05382,+
cmlA,NDLJOBPC_05383,+
group_3489,NDLJOBPC_05389,-
group_349,NDLJOBPC_02276,-
group_3490,NDLJOBPC_05390,+
group_3491,NDLJOBPC_05396,+
recD2_2,NDLJOBPC_05397,-
yajO_3,NDLJOBPC_05398,-
group_3494,NDLJOBPC_05400,+
pspA,NDLJOBPC_05402,+
group_3496,NDLJOBPC_05404,+
group_3497,NDLJOBPC_05406,-
glpD,NDLJOBPC_05408,-
glpF,NDLJOBPC_05410,-
group_3500,NDLJOBPC_05414,+
group_3501,NDLJOBPC_05416,-
group_3502,NDLJOBPC_05427,+
pafA,NDLJOBPC_05428,+
group_3504,NDLJOBPC_05434,+
dagK,NDLJOBPC_05437,+
ptlI,NDLJOBPC_05439,+
group_3507,NDLJOBPC_05445,-
group_3508,NDLJOBPC_05446,-
rskA,NDLJOBPC_05448,-
group_351,NDLJOBPC_02282,-
sigK,NDLJOBPC_05449,-
group_3511,NDLJOBPC_05450,-
opuAA_2,NDLJOBPC_05452,+
group_3513,NDLJOBPC_05453,+
group_3514,NDLJOBPC_05457,-
lldR_2,NDLJOBPC_05459,-
feaB,NDLJOBPC_05461,+
group_3517,NDLJOBPC_05465,+
group_3518,NDLJOBPC_05466,+
group_3519,NDLJOBPC_05467,+
aqpZ,NDLJOBPC_05468,+
group_3521,NDLJOBPC_05469,-
group_3522,NDLJOBPC_05474,+
pheT,NDLJOBPC_05477,+
group_3524,NDLJOBPC_05483,-
group_3525,NDLJOBPC_05484,+
group_3526,NDLJOBPC_05485,+
group_3527,NDLJOBPC_05490,+
group_3528,NDLJOBPC_05491,+
group_3529,NDLJOBPC_05493,-
pspB,NDLJOBPC_02291,+
group_3531,NDLJOBPC_05496,+
group_3532,NDLJOBPC_05497,-
folD_2,NDLJOBPC_05498,+
group_3534,NDLJOBPC_05501,-
argC,NDLJOBPC_05506,+
group_3537,NDLJOBPC_05513,+
ydfJ_3,NDLJOBPC_05514,+
panS,NDLJOBPC_05515,-
group_3540,NDLJOBPC_05516,-
group_3541,NDLJOBPC_05519,-
group_3542,NDLJOBPC_05524,+
vldH,NDLJOBPC_05528,+
metP,NDLJOBPC_05530,+
metQ,NDLJOBPC_05532,+
cobT_2,NDLJOBPC_05535,+
group_3547,NDLJOBPC_05537,+
group_3548,NDLJOBPC_05539,+
group_3549,NDLJOBPC_05542,+
pip_2,NDLJOBPC_02295,+
dat_2,NDLJOBPC_05550,+
mshD_5,NDLJOBPC_05551,+
group_3552,NDLJOBPC_05552,-
group_3553,NDLJOBPC_05553,+
group_3554,NDLJOBPC_05555,-
group_3555,NDLJOBPC_05557,+
group_3556,NDLJOBPC_05561,-
group_3557,NDLJOBPC_05562,-
group_3558,NDLJOBPC_05564,-
group_3559,NDLJOBPC_05570,+
lcpB_2,NDLJOBPC_02297,-
pdxT,NDLJOBPC_05572,+
ruvB_1,NDLJOBPC_05576,+
apt,NDLJOBPC_05580,+
group_3563,NDLJOBPC_05585,+
group_3564,NDLJOBPC_05591,+
aroE,NDLJOBPC_05595,+
group_3566,NDLJOBPC_05599,+
pyrR,NDLJOBPC_05604,+
group_3568,NDLJOBPC_05607,+
group_3569,NDLJOBPC_05622,-
group_3570,NDLJOBPC_05626,+
group_3572,NDLJOBPC_05632,-
ramA_3,NDLJOBPC_05635,+
group_3574,NDLJOBPC_05641,+
ybjJ_5,NDLJOBPC_05642,-
nagC_4,NDLJOBPC_05643,+
ribD,NDLJOBPC_05645,+
ribE,NDLJOBPC_05646,+
group_3579,NDLJOBPC_05652,+
tap_4,NDLJOBPC_02363,-
group_3580,NDLJOBPC_05654,-
chiC,NDLJOBPC_05656,-
glpQ_4,NDLJOBPC_05665,-
group_3583,NDLJOBPC_05666,-
group_3584,NDLJOBPC_05671,+
group_3585,NDLJOBPC_05673,+
group_3586,NDLJOBPC_05674,+
group_3587,NDLJOBPC_05675,+
group_3588,NDLJOBPC_05676,-
group_3589,NDLJOBPC_05678,-
group_3590,NDLJOBPC_05679,+
group_3591,NDLJOBPC_05681,+
vanX,NDLJOBPC_05684,-
group_3593,NDLJOBPC_05685,+
group_3594,NDLJOBPC_05686,+
group_3595,NDLJOBPC_05689,+
group_3596,NDLJOBPC_05702,+
dinB1_2,NDLJOBPC_05705,+
group_3598,NDLJOBPC_05706,-
group_3599,NDLJOBPC_05709,-
group_360,NDLJOBPC_02366,-
group_3600,NDLJOBPC_05711,-
phzF,NDLJOBPC_05713,-
group_3602,NDLJOBPC_05716,+
group_3603,NDLJOBPC_05717,+
group_3604,NDLJOBPC_05718,+
group_3605,NDLJOBPC_05720,-
group_3606,NDLJOBPC_05722,-
oxyR_2,NDLJOBPC_05723,+
rcp1_1,NDLJOBPC_05725,+
cph1,NDLJOBPC_05726,-
group_361,NDLJOBPC_02387,+
tetR,NDLJOBPC_05727,-
nylA_2,NDLJOBPC_05728,+
group_3612,NDLJOBPC_05729,-
dppE_2,NDLJOBPC_05735,+
group_3614,NDLJOBPC_05737,+
group_3615,NDLJOBPC_05739,-
auaG,NDLJOBPC_05740,+
group_3617,NDLJOBPC_05744,-
group_3618,NDLJOBPC_05745,+
speA,NDLJOBPC_05747,+
group_3620,NDLJOBPC_05748,-
uppP,NDLJOBPC_05749,-
group_3622,NDLJOBPC_05750,-
group_3623,NDLJOBPC_05751,-
group_3624,NDLJOBPC_05752,-
tuf_2,NDLJOBPC_05753,+
group_3626,NDLJOBPC_05754,+
argO,NDLJOBPC_05756,-
group_3628,NDLJOBPC_05757,+
speE_3,NDLJOBPC_05759,+
group_3630,NDLJOBPC_05760,-
group_3631,NDLJOBPC_05763,+
sutR_2,NDLJOBPC_05766,+
yccU,NDLJOBPC_05767,-
group_3634,NDLJOBPC_05769,-
group_3635,NDLJOBPC_05774,+
sbcD,NDLJOBPC_05775,+
group_3637,NDLJOBPC_05776,+
group_3638,NDLJOBPC_05779,+
mgl,NDLJOBPC_05782,+
group_364,NDLJOBPC_02514,+
group_3640,NDLJOBPC_05783,-
group_3641,NDLJOBPC_05785,-
group_3642,NDLJOBPC_05789,+
ypeA,NDLJOBPC_05796,+
yheS_2,NDLJOBPC_05797,+
yheS_3,NDLJOBPC_05798,+
bioD,NDLJOBPC_05800,-
bioF_1,NDLJOBPC_05803,+
group_3648,NDLJOBPC_05804,-
group_3649,NDLJOBPC_05805,-
group_365,NDLJOBPC_02520,+
ureA_3,NDLJOBPC_05810,+
ureF_2,NDLJOBPC_05813,+
group_3652,NDLJOBPC_05817,-
group_3653,NDLJOBPC_05819,+
group_3654,NDLJOBPC_05822,-
udgB,NDLJOBPC_05825,+
tauD,NDLJOBPC_05826,+
stp_5,NDLJOBPC_05827,+
btuD_24,NDLJOBPC_05830,-
def_2,NDLJOBPC_05837,+
ramA_2,NDLJOBPC_02566,-
group_3660,NDLJOBPC_05934,+
group_3661,NDLJOBPC_05935,-
group_3662,NDLJOBPC_05939,-
group_3663,NDLJOBPC_05942,+
ycjP_2,NDLJOBPC_05943,+
bglA_3,NDLJOBPC_05944,+
group_3666,NDLJOBPC_05947,+
group_3667,NDLJOBPC_05948,-
group_3668,NDLJOBPC_05950,-
gloB_3,NDLJOBPC_05951,-
sasA_9,NDLJOBPC_05954,+
group_3671,NDLJOBPC_05957,+
sigJ_2,NDLJOBPC_05961,-
group_3673,NDLJOBPC_05964,+
group_3674,NDLJOBPC_05965,+
group_3676,NDLJOBPC_05975,-
group_3677,NDLJOBPC_05977,+
group_3678,NDLJOBPC_05978,-
group_3679,NDLJOBPC_05979,+
ramC_1,NDLJOBPC_02568,-
mutM,NDLJOBPC_05980,+
group_3681,NDLJOBPC_05985,-
group_3682,NDLJOBPC_05986,+
group_3683,NDLJOBPC_05987,-
group_3684,NDLJOBPC_05988,-
group_3685,NDLJOBPC_05990,+
group_3686,NDLJOBPC_05992,+
group_3687,NDLJOBPC_05994,+
fgd_6,NDLJOBPC_06000,-
egtA,NDLJOBPC_06007,-
group_3690,NDLJOBPC_06009,-
pdhD_2,NDLJOBPC_06011,+
group_3692,NDLJOBPC_06012,-
ycdX,NDLJOBPC_06017,+
group_3694,NDLJOBPC_06018,+
carA2,NDLJOBPC_06019,+
pds,NDLJOBPC_06024,-
group_3697,NDLJOBPC_06025,-
group_3698,NDLJOBPC_06026,+
group_3699,NDLJOBPC_06027,-
group_370,NDLJOBPC_02575,+
rosB,NDLJOBPC_06028,+
rpsR1_2,NDLJOBPC_06029,-
yciC_2,NDLJOBPC_06030,-
rpsN,NDLJOBPC_06034,+
group_3704,NDLJOBPC_06035,+
adhA,NDLJOBPC_06037,+
subB,NDLJOBPC_06038,-
mycG_2,NDLJOBPC_06039,-
emrB,NDLJOBPC_06040,-
group_3709,NDLJOBPC_06041,+
group_3711,NDLJOBPC_06049,+
npt,NDLJOBPC_06050,-
group_3713,NDLJOBPC_06051,-
papA3,NDLJOBPC_06053,+
group_3715,NDLJOBPC_06054,-
group_3716,NDLJOBPC_06055,-
group_3717,NDLJOBPC_06069,+
group_3718,NDLJOBPC_06073,-
fimA,NDLJOBPC_06074,-
group_3720,NDLJOBPC_06075,-
mntB_1,NDLJOBPC_06076,-
mntB_2,NDLJOBPC_06077,+
guaD,NDLJOBPC_06089,-
group_3724,NDLJOBPC_06091,-
group_3725,NDLJOBPC_06092,-
group_3726,NDLJOBPC_06095,-
group_3727,NDLJOBPC_06097,-
group_3728,NDLJOBPC_06098,-
pduF,NDLJOBPC_06100,-
entS_7,NDLJOBPC_06101,-
group_3732,NDLJOBPC_06103,+
group_3733,NDLJOBPC_06104,+
group_3734,NDLJOBPC_06105,-
pxpB,NDLJOBPC_06107,+
pxpC,NDLJOBPC_06108,+
group_3737,NDLJOBPC_06111,+
hmuU,NDLJOBPC_06112,+
yusV_2,NDLJOBPC_06114,+
ydhP_1,NDLJOBPC_02610,+
cocE,NDLJOBPC_06117,+
group_3741,NDLJOBPC_06118,+
btuD_25,NDLJOBPC_06120,+
msrA3,NDLJOBPC_06122,-
ysnE,NDLJOBPC_06123,+
maa,NDLJOBPC_06124,+
group_3746,NDLJOBPC_06125,-
rppH_3,NDLJOBPC_06128,-
group_375,NDLJOBPC_02656,-
group_3750,NDLJOBPC_06145,-
fabG_6,NDLJOBPC_06156,-
osmX_2,NDLJOBPC_06162,+
pip_3,NDLJOBPC_06164,+
mca_2,NDLJOBPC_06165,+
qorA_2,NDLJOBPC_06167,+
group_3757,NDLJOBPC_06169,+
appA,NDLJOBPC_06170,+
oppD_6,NDLJOBPC_06173,+
group_3760,NDLJOBPC_06178,-
group_3762,NDLJOBPC_06188,-
group_3763,NDLJOBPC_06190,-
group_3764,NDLJOBPC_06191,-
group_3765,NDLJOBPC_06192,-
group_3766,NDLJOBPC_06194,-
hcaB_4,NDLJOBPC_06195,-
group_3768,NDLJOBPC_06196,+
group_3769,NDLJOBPC_06197,+
group_3770,NDLJOBPC_06198,+
drrB_4,NDLJOBPC_06209,-
drrA_8,NDLJOBPC_06210,-
menF_3,NDLJOBPC_06212,-
pikAV_1,NDLJOBPC_06213,-
group_3775,NDLJOBPC_06222,+
mglA_3,NDLJOBPC_06225,-
group_3777,NDLJOBPC_06226,-
group_3778,NDLJOBPC_06228,-
paaE_2,NDLJOBPC_06233,-
group_378,NDLJOBPC_02728,+
paaD,NDLJOBPC_06234,-
paaC_2,NDLJOBPC_06235,-
paaA_2,NDLJOBPC_06237,-
group_3783,NDLJOBPC_06238,+
group_3784,NDLJOBPC_06241,-
group_3785,NDLJOBPC_06243,+
group_3786,NDLJOBPC_06248,+
afsR_4,NDLJOBPC_06251,+
ramC_2,NDLJOBPC_06252,-
entS_8,NDLJOBPC_06253,-
group_379,NDLJOBPC_03201,+
group_3790,NDLJOBPC_06254,-
group_3791,NDLJOBPC_06255,+
group_3792,NDLJOBPC_06256,+
group_3793,NDLJOBPC_06257,+
group_3794,NDLJOBPC_06258,+
group_3795,NDLJOBPC_06263,+
cysQ,NDLJOBPC_00744,-
group_3801,NDLJOBPC_05995,+
group_3802,NDLJOBPC_06218,+
group_381,NDLJOBPC_02791,+
ygfF_1,NDLJOBPC_02874,+
ygfF_2,NDLJOBPC_04005,+
group_386,NDLJOBPC_02899,-
mtgA_2,NDLJOBPC_02924,+
group_3901,NDLJOBPC_00466,-
btuD_2,NDLJOBPC_00606,+
group_3903,NDLJOBPC_00743,+
group_3904,NDLJOBPC_00781,-
dhpH_1,NDLJOBPC_00851,+
group_3907,NDLJOBPC_00993,-
group_3908,NDLJOBPC_01150,-
group_3909,NDLJOBPC_01233,-
group_391,NDLJOBPC_02936,-
oppD_2,NDLJOBPC_01374,+
group_3911,NDLJOBPC_01444,-
group_3912,NDLJOBPC_01577,-
group_3914,NDLJOBPC_01800,-
group_3915,NDLJOBPC_01855,-
group_3916,NDLJOBPC_01877,-
cshA,NDLJOBPC_01884,+
group_3918,NDLJOBPC_01991,+
group_392,NDLJOBPC_02976,+
group_3921,NDLJOBPC_02331,-
moaE2_2,NDLJOBPC_02376,-
group_3925,NDLJOBPC_02388,+
kshA,NDLJOBPC_02450,-
group_3928,NDLJOBPC_02465,+
group_3929,NDLJOBPC_02477,-
group_393,NDLJOBPC_02979,+
accA1_1,NDLJOBPC_02508,-
ramR,NDLJOBPC_02564,+
group_3932,NDLJOBPC_02596,-
tagU_5,NDLJOBPC_02831,+
group_3934,NDLJOBPC_02853,+
ycnI,NDLJOBPC_03110,+
group_3937,NDLJOBPC_03272,-
group_3938,NDLJOBPC_03303,-
group_3943,NDLJOBPC_03522,+
drrA_4,NDLJOBPC_03535,-
group_3945,NDLJOBPC_03584,+
group_3947,NDLJOBPC_03709,-
group_3948,NDLJOBPC_03783,+
group_3953,NDLJOBPC_03898,-
group_3955,NDLJOBPC_03978,-
group_3956,NDLJOBPC_03994,+
betP_2,NDLJOBPC_04014,+
group_3958,NDLJOBPC_04021,+
group_3959,NDLJOBPC_04061,+
group_3969,NDLJOBPC_04499,-
cpdA_2,NDLJOBPC_03022,+
group_3973,NDLJOBPC_04569,+
dus,NDLJOBPC_04632,+
group_3975,NDLJOBPC_04638,+
iolS_3,NDLJOBPC_04730,+
gadA_2,NDLJOBPC_04837,-
group_3979,NDLJOBPC_04850,+
group_3980,NDLJOBPC_04911,-
group_3981,NDLJOBPC_04983,-
cmoM_3,NDLJOBPC_05017,+
vatD,NDLJOBPC_05370,+
prcA,NDLJOBPC_05425,+
group_3986,NDLJOBPC_05511,+
secD,NDLJOBPC_05578,+
mltG_2,NDLJOBPC_05594,+
group_3989,NDLJOBPC_05662,+
group_399,NDLJOBPC_03029,-
btuD_23,NDLJOBPC_05823,-
dltA_8,NDLJOBPC_06267,+
group_4,NDLJOBPC_03530,+
catJ,NDLJOBPC_00477,+
yfeX,NDLJOBPC_03054,-
lap,NDLJOBPC_03068,+
ydgJ,NDLJOBPC_01998,+
group_4032,NDLJOBPC_02328,-
group_4046,NDLJOBPC_02620,+
group_405,NDLJOBPC_03095,+
group_406,NDLJOBPC_03145,+
group_407,NDLJOBPC_03205,+
mobA,NDLJOBPC_03236,+
group_409,NDLJOBPC_03241,+
yheI_1,NDLJOBPC_00432,+
group_413,NDLJOBPC_03257,+
btuD_16,NDLJOBPC_03277,+
group_417,NDLJOBPC_03290,+
group_418,NDLJOBPC_03308,+
group_422,NDLJOBPC_03323,+
group_423,NDLJOBPC_03346,-
speE_1,NDLJOBPC_03369,+
group_428,NDLJOBPC_03402,-
opuCA_2,NDLJOBPC_03609,-
group_431,NDLJOBPC_03448,+
group_432,NDLJOBPC_03516,+
qacA_4,NDLJOBPC_03571,-
tilS,NDLJOBPC_03600,+
group_438,NDLJOBPC_03615,+
lgrD_2,NDLJOBPC_03618,-
dltA_1,NDLJOBPC_00460,-
dltA_3,NDLJOBPC_03619,-
cseA,NDLJOBPC_03659,-
group_446,NDLJOBPC_03669,+
eis_1,NDLJOBPC_03696,-
group_449,NDLJOBPC_03757,+
group_455,NDLJOBPC_03945,+
group_456,NDLJOBPC_03948,+
group_457,NDLJOBPC_03959,-
group_458,NDLJOBPC_03965,-
group_459,NDLJOBPC_04002,-
group_460,NDLJOBPC_04009,+
group_461,NDLJOBPC_04012,+
group_463,NDLJOBPC_04015,+
group_464,NDLJOBPC_04016,+
group_467,NDLJOBPC_04105,-
egtB_2,NDLJOBPC_04163,+
group_469,NDLJOBPC_04257,+
tet(X)_2,NDLJOBPC_04307,+
group_474,NDLJOBPC_04366,-
group_477,NDLJOBPC_04404,+
accA1_2,NDLJOBPC_04408,-
afsR_3,NDLJOBPC_04446,-
murK_2,NDLJOBPC_04493,-
malQ,NDLJOBPC_04501,+
group_485,NDLJOBPC_04726,+
group_486,NDLJOBPC_04773,-
ykoD,NDLJOBPC_04794,-
chpD,NDLJOBPC_02399,+
mdtD_5,NDLJOBPC_04804,-
group_491,NDLJOBPC_04836,-
group_494,NDLJOBPC_04905,+
cobV,NDLJOBPC_04940,-
pld,NDLJOBPC_05048,-
group_5,NDLJOBPC_02669,+
group_50,NDLJOBPC_02400,+
group_501,NDLJOBPC_05143,+
dapD,NDLJOBPC_05180,+
group_505,NDLJOBPC_05186,-
group_506,NDLJOBPC_05326,-
group_508,NDLJOBPC_05335,-
chpC,NDLJOBPC_05394,+
group_510,NDLJOBPC_05350,-
group_512,NDLJOBPC_05380,-
corA_2,NDLJOBPC_05401,-
group_518,NDLJOBPC_05455,-
group_520,NDLJOBPC_05518,+
lfrA_2,NDLJOBPC_05521,+
group_523,NDLJOBPC_05687,-
group_524,NDLJOBPC_05700,+
group_526,NDLJOBPC_05724,+
yceM,NDLJOBPC_05741,+
group_530,NDLJOBPC_05755,+
nimR_2,NDLJOBPC_05773,-
glpE,NDLJOBPC_05778,+
group_534,NDLJOBPC_05790,+
eis_3,NDLJOBPC_05816,-
hldE,NDLJOBPC_05829,-
group_538,NDLJOBPC_05960,+
group_540,NDLJOBPC_05991,-
group_541,NDLJOBPC_06001,+
group_542,NDLJOBPC_06110,-
hmp_2,NDLJOBPC_06200,-
group_546,NDLJOBPC_06201,+
fadA_3,NDLJOBPC_06207,+
menE,NDLJOBPC_06211,-
dltA_6,NDLJOBPC_06242,-
group_553,NDLJOBPC_06247,-
group_5710,NDLJOBPC_03693,+
glnB_1,NDLJOBPC_01459,-
rpsE,NDLJOBPC_03927,+
hup,NDLJOBPC_02084,-
group_5714,NDLJOBPC_04317,+
group_5715,NDLJOBPC_00693,+
group_5716,NDLJOBPC_03814,+
group_5717,NDLJOBPC_02625,-
rplN,NDLJOBPC_03920,+
coaX,NDLJOBPC_03648,+
group_5720,NDLJOBPC_02577,-
betI_5,NDLJOBPC_01880,+
group_5722,NDLJOBPC_02804,+
group_5723,NDLJOBPC_04641,+
inhA_2,NDLJOBPC_05244,+
rpmJ,NDLJOBPC_03934,+
degU_4,NDLJOBPC_03986,+
glnQ_1,NDLJOBPC_00764,-
livH_2,NDLJOBPC_05111,-
gltA2,NDLJOBPC_04428,+
rpsZ,NDLJOBPC_03923,+
whiB1,NDLJOBPC_01814,+
group_5732,NDLJOBPC_01519,+
folE,NDLJOBPC_03603,+
rpsT,NDLJOBPC_04586,-
rpsI,NDLJOBPC_03942,+
rpoA,NDLJOBPC_03937,+
infA,NDLJOBPC_03933,+
afsQ1,NDLJOBPC_04192,-
pfkA2_1,NDLJOBPC_01653,-
rbfA,NDLJOBPC_01380,-
group_5744,NDLJOBPC_03314,-
psd,NDLJOBPC_00724,+
group_5746,NDLJOBPC_03758,-
group_5747,NDLJOBPC_05593,+
asnC_3,NDLJOBPC_05634,+
rpsH,NDLJOBPC_03924,+
group_5750,NDLJOBPC_03466,+
group_5751,NDLJOBPC_03185,+
ctaE,NDLJOBPC_04965,+
hiuH,NDLJOBPC_00860,-
group_5754,NDLJOBPC_05698,+
ybiT_2,NDLJOBPC_05216,+
group_5756,NDLJOBPC_04107,+
group_5757,NDLJOBPC_03853,+
group_5758,NDLJOBPC_06016,-
ssgB_4,NDLJOBPC_05556,-
pgsA2_2,NDLJOBPC_05695,+
group_5761,NDLJOBPC_03912,+
gdx_1,NDLJOBPC_01837,+
mlaE,NDLJOBPC_01159,-
group_5764,NDLJOBPC_01158,-
hrdB_2,NDLJOBPC_02390,-
kipR,NDLJOBPC_02060,-
whiB_4,NDLJOBPC_04339,+
group_5768,NDLJOBPC_03211,+
rplU,NDLJOBPC_04553,+
azoB_2,NDLJOBPC_02876,+
group_5771,NDLJOBPC_04324,-
yqeY,NDLJOBPC_02925,-
lrp,NDLJOBPC_05659,+
secE,NDLJOBPC_03886,+
group_5775,NDLJOBPC_01694,-
era,NDLJOBPC_04618,+
rpsB,NDLJOBPC_01436,-
ung_2,NDLJOBPC_05736,+
group_5781,NDLJOBPC_03227,+
group_5782,NDLJOBPC_01921,-
group_5783,NDLJOBPC_05290,+
group_5784,NDLJOBPC_04530,+
group_5785,NDLJOBPC_03177,-
group_5786,NDLJOBPC_04882,+
rbpA_1,NDLJOBPC_05159,+
regX3_3,NDLJOBPC_02777,-
purS,NDLJOBPC_03037,-
group_5790,NDLJOBPC_05420,-
rpsL,NDLJOBPC_03901,+
whiB_1,NDLJOBPC_01860,-
group_5793,NDLJOBPC_00981,-
rpmF_2,NDLJOBPC_01480,-
sufC,NDLJOBPC_05176,+
group_5796,NDLJOBPC_00439,-
group_5797,NDLJOBPC_04725,-
cspA,NDLJOBPC_02628,-
group_5799,NDLJOBPC_02521,+
group_58,NDLJOBPC_00392,-
group_5800,NDLJOBPC_04763,+
group_5801,NDLJOBPC_01258,-
group_5802,NDLJOBPC_06249,+
rpmA,NDLJOBPC_04554,+
trkA_1,NDLJOBPC_01231,+
group_5805,NDLJOBPC_01422,+
spo0M,NDLJOBPC_05265,-
suaB,NDLJOBPC_06214,-
crgA,NDLJOBPC_03209,-
group_5809,NDLJOBPC_03362,+
group_5810,NDLJOBPC_00610,-
rpsD,NDLJOBPC_05589,+
glkA_2,NDLJOBPC_04990,+
group_5813,NDLJOBPC_02963,-
group_5814,NDLJOBPC_02956,-
hisN,NDLJOBPC_01839,+
group_5816,NDLJOBPC_03854,-
secG,NDLJOBPC_05158,+
group_5818,NDLJOBPC_05179,+
ung_1,NDLJOBPC_00369,-
group_5820,NDLJOBPC_01368,+
group_5821,NDLJOBPC_03140,-
arc,NDLJOBPC_05421,+
nuoB,NDLJOBPC_03805,+
group_5824,NDLJOBPC_00725,+
rplR,NDLJOBPC_03926,+
group_5826,NDLJOBPC_04945,+
group_5827,NDLJOBPC_05703,+
group_5828,NDLJOBPC_05395,-
group_5829,NDLJOBPC_02190,-
pafC,NDLJOBPC_05432,+
rpmC,NDLJOBPC_03918,+
group_5832,NDLJOBPC_05441,+
group_5833,NDLJOBPC_03745,+
group_5834,NDLJOBPC_01517,+
group_5835,NDLJOBPC_02352,-
group_5836,NDLJOBPC_05433,+
rpsQ,NDLJOBPC_03919,+
group_5838,NDLJOBPC_04954,+
sdhC,NDLJOBPC_04132,-
griR_2,NDLJOBPC_03184,+
phoP,NDLJOBPC_04367,+
rpsK,NDLJOBPC_03936,+
femX,NDLJOBPC_03159,+
rplX,NDLJOBPC_03921,+
rpmE,NDLJOBPC_01720,-
murR,NDLJOBPC_02618,+
rlmN,NDLJOBPC_01431,-
group_5848,NDLJOBPC_01516,+
group_5849,NDLJOBPC_01443,-
mhuD,NDLJOBPC_04789,-
infB,NDLJOBPC_01382,-
dapb3,NDLJOBPC_02878,-
group_5853,NDLJOBPC_01278,+
atpF,NDLJOBPC_01711,-
group_5855,NDLJOBPC_01906,-
frr,NDLJOBPC_01433,-
lexA,NDLJOBPC_01297,+
pdhD_1,NDLJOBPC_04938,-
rpsS,NDLJOBPC_03914,+
group_5860,NDLJOBPC_00510,-
group_5861,NDLJOBPC_01245,-
paaB_1,NDLJOBPC_02410,+
rpmE2_1,NDLJOBPC_00581,+
prs,NDLJOBPC_02309,+
group_5865,NDLJOBPC_02482,-
ino1,NDLJOBPC_03164,+
group_5867,NDLJOBPC_01454,-
bkdB_2,NDLJOBPC_03247,+
group_5869,NDLJOBPC_01883,-
groS_2,NDLJOBPC_03981,+
group_5871,NDLJOBPC_03505,-
ramS,NDLJOBPC_02567,-
kefF,NDLJOBPC_02877,+
group_5874,NDLJOBPC_05701,+
ephA,NDLJOBPC_02911,+
rplP,NDLJOBPC_03917,+
group_5877,NDLJOBPC_01751,-
rpsR1_1,NDLJOBPC_03155,-
thrC,NDLJOBPC_01724,-
secY,NDLJOBPC_03930,+
group_5881,NDLJOBPC_02180,-
rplB,NDLJOBPC_03913,+
gatD,NDLJOBPC_05835,-
group_5884,NDLJOBPC_03517,+
group_5885,NDLJOBPC_05573,+
group_5886,NDLJOBPC_03069,+
rpsJ,NDLJOBPC_03909,+
lrpC_1,NDLJOBPC_03742,+
group_5889,NDLJOBPC_03283,+
hisB,NDLJOBPC_05064,+
group_5891,NDLJOBPC_04567,+
group_5892,NDLJOBPC_01333,-
pup,NDLJOBPC_05423,+
group_5894,NDLJOBPC_04976,-
fabG_5,NDLJOBPC_05734,+
group_5896,NDLJOBPC_05612,+
rpmI,NDLJOBPC_05471,+
trxC,NDLJOBPC_06010,-
ftsX,NDLJOBPC_02100,-
rhaR_1,NDLJOBPC_00396,-
group_5900,NDLJOBPC_06033,+
ppa,NDLJOBPC_03596,-
cheB_2,NDLJOBPC_01350,-
group_5903,NDLJOBPC_05603,-
group_5904,NDLJOBPC_03692,+
hpt,NDLJOBPC_03601,+
group_5906,NDLJOBPC_02950,-
crp_1,NDLJOBPC_02916,+
rplE,NDLJOBPC_03922,+
group_5909,NDLJOBPC_01935,-
group_5910,NDLJOBPC_05036,+
rplF,NDLJOBPC_03925,+
group_5912,NDLJOBPC_03031,+
prr_2,NDLJOBPC_01421,-
algU,NDLJOBPC_06244,+
group_5915,NDLJOBPC_01481,-
ftsE,NDLJOBPC_02101,-
etfB,NDLJOBPC_00344,-
group_5918,NDLJOBPC_02440,+
fabG1,NDLJOBPC_05243,+
ydcV,NDLJOBPC_01410,-
group_5921,NDLJOBPC_02158,-
