Gene,albidoflavus_J1074,Sign
group_3445,CDKDDEHB_05054,+
draG,CDKDDEHB_05062,+
group_3447,CDKDDEHB_05063,+
group_3448,CDKDDEHB_05065,+
plsC_1,CDKDDEHB_05067,+
group_3450,CDKDDEHB_05069,-
mshA_4,CDKDDEHB_05072,+
group_3452,CDKDDEHB_05073,+
group_3453,CDKDDEHB_05074,+
group_3454,CDKDDEHB_05077,-
qacA_6,CDKDDEHB_05078,+
group_3456,CDKDDEHB_05080,+
glnH_3,CDKDDEHB_05081,-
group_3458,CDKDDEHB_05083,+
glnQ_4,CDKDDEHB_05085,+
fliA,CDKDDEHB_01969,+
ntaA,CDKDDEHB_05088,+
sprB,CDKDDEHB_05090,+
sprD,CDKDDEHB_05092,+
dinB1_1,CDKDDEHB_05095,+
group_3464,CDKDDEHB_05096,+
gbpA_3,CDKDDEHB_05097,-
group_3466,CDKDDEHB_05098,-
ytrA_5,CDKDDEHB_05100,+
group_3468,CDKDDEHB_05102,+
group_3469,CDKDDEHB_05105,-
rpoD,CDKDDEHB_02888,+
group_3470,CDKDDEHB_05106,-
group_3471,CDKDDEHB_05107,-
group_3472,CDKDDEHB_05108,-
group_3473,CDKDDEHB_05110,-
group_3474,CDKDDEHB_05112,+
group_3475,CDKDDEHB_05115,-
nagR_4,CDKDDEHB_05116,-
hmgA_2,CDKDDEHB_05117,-
group_3479,CDKDDEHB_05129,-
COQ3_2,CDKDDEHB_02000,-
ettA_4,CDKDDEHB_05133,+
lcfB_2,CDKDDEHB_05136,+
group_3482,CDKDDEHB_05139,-
group_3483,CDKDDEHB_05140,+
group_3484,CDKDDEHB_05141,-
yfcD_2,CDKDDEHB_05143,-
group_3486,CDKDDEHB_05145,-
group_3487,CDKDDEHB_05146,+
cmlA,CDKDDEHB_05147,+
group_3489,CDKDDEHB_05153,-
group_349,CDKDDEHB_02031,-
group_3490,CDKDDEHB_05154,+
group_3491,CDKDDEHB_05160,+
recD2_2,CDKDDEHB_05161,-
yajO_3,CDKDDEHB_05162,-
group_3494,CDKDDEHB_05164,+
pspA,CDKDDEHB_05166,+
group_3496,CDKDDEHB_05168,+
group_3497,CDKDDEHB_05170,-
glpD,CDKDDEHB_05172,-
glpF,CDKDDEHB_05174,-
group_3500,CDKDDEHB_05178,+
group_3501,CDKDDEHB_05180,-
group_3502,CDKDDEHB_05191,+
pafA,CDKDDEHB_05192,+
group_3504,CDKDDEHB_05198,+
dagK,CDKDDEHB_05201,+
ptlI,CDKDDEHB_05203,+
group_3507,CDKDDEHB_05209,-
group_3508,CDKDDEHB_05210,-
rskA,CDKDDEHB_05212,-
group_351,CDKDDEHB_02038,-
sigK,CDKDDEHB_05213,-
group_3511,CDKDDEHB_05214,-
opuAA_2,CDKDDEHB_05216,+
group_3513,CDKDDEHB_05217,+
group_3514,CDKDDEHB_05221,-
lldR_2,CDKDDEHB_05223,-
feaB,CDKDDEHB_05225,+
group_3517,CDKDDEHB_05229,+
group_3518,CDKDDEHB_05230,+
group_3519,CDKDDEHB_05231,+
aqpZ,CDKDDEHB_05232,+
group_3521,CDKDDEHB_05233,-
group_3522,CDKDDEHB_05238,+
pheT,CDKDDEHB_05241,+
group_3524,CDKDDEHB_05247,-
group_3525,CDKDDEHB_05248,+
group_3526,CDKDDEHB_05249,+
group_3527,CDKDDEHB_05254,+
group_3528,CDKDDEHB_05255,+
group_3529,CDKDDEHB_05257,-
pspB,CDKDDEHB_02047,+
group_3531,CDKDDEHB_05260,+
group_3532,CDKDDEHB_05261,-
folD_2,CDKDDEHB_05262,+
group_3534,CDKDDEHB_05265,-
argC,CDKDDEHB_05270,+
group_3537,CDKDDEHB_05277,+
ydfJ_3,CDKDDEHB_05278,+
panS,CDKDDEHB_05279,-
group_3540,CDKDDEHB_05280,-
group_3541,CDKDDEHB_05283,-
group_3542,CDKDDEHB_05288,+
vldH,CDKDDEHB_05292,+
metP,CDKDDEHB_05294,+
metQ,CDKDDEHB_05296,+
cobT_2,CDKDDEHB_05299,+
group_3547,CDKDDEHB_05301,+
group_3548,CDKDDEHB_05303,+
group_3549,CDKDDEHB_05306,+
pip_2,CDKDDEHB_02049,+
dat_2,CDKDDEHB_05314,+
mshD_5,CDKDDEHB_05315,+
group_3552,CDKDDEHB_05316,-
group_3553,CDKDDEHB_05317,+
group_3554,CDKDDEHB_05319,-
group_3555,CDKDDEHB_05321,+
group_3556,CDKDDEHB_05325,-
group_3557,CDKDDEHB_05326,-
group_3558,CDKDDEHB_05328,-
group_3559,CDKDDEHB_05334,+
lcpB_2,CDKDDEHB_02051,-
pdxT,CDKDDEHB_05336,+
ruvB_1,CDKDDEHB_05340,+
apt,CDKDDEHB_05344,+
group_3563,CDKDDEHB_05349,+
group_3564,CDKDDEHB_05355,+
aroE,CDKDDEHB_05359,+
group_3566,CDKDDEHB_05363,+
pyrR,CDKDDEHB_05368,+
group_3568,CDKDDEHB_05371,+
group_3569,CDKDDEHB_05386,-
group_3570,CDKDDEHB_05390,+
group_3572,CDKDDEHB_05397,-
ramA_3,CDKDDEHB_05400,+
group_3574,CDKDDEHB_05406,+
ybjJ_5,CDKDDEHB_05407,-
nagC_4,CDKDDEHB_05408,+
ribD,CDKDDEHB_05410,+
ribE,CDKDDEHB_05411,+
group_3579,CDKDDEHB_05417,+
tap_4,CDKDDEHB_02120,-
group_3580,CDKDDEHB_05419,-
chiC,CDKDDEHB_05421,-
glpQ_4,CDKDDEHB_05430,-
group_3583,CDKDDEHB_05431,-
group_3584,CDKDDEHB_05436,+
group_3585,CDKDDEHB_05438,+
group_3586,CDKDDEHB_05439,+
group_3587,CDKDDEHB_05440,+
group_3588,CDKDDEHB_05441,-
group_3589,CDKDDEHB_05443,-
group_3590,CDKDDEHB_05444,+
group_3591,CDKDDEHB_05446,+
vanX,CDKDDEHB_05449,-
group_3593,CDKDDEHB_05450,+
group_3594,CDKDDEHB_05451,+
group_3595,CDKDDEHB_05454,+
group_3596,CDKDDEHB_05466,+
dinB1_2,CDKDDEHB_05469,+
group_3598,CDKDDEHB_05470,-
group_3599,CDKDDEHB_05473,-
group_360,CDKDDEHB_02123,-
group_3600,CDKDDEHB_05475,-
phzF,CDKDDEHB_05477,-
group_3602,CDKDDEHB_05480,+
group_3603,CDKDDEHB_05481,+
group_3604,CDKDDEHB_05482,+
group_3605,CDKDDEHB_05484,-
group_3606,CDKDDEHB_05486,-
oxyR_2,CDKDDEHB_05487,+
rcp1_1,CDKDDEHB_05489,+
cph1,CDKDDEHB_05490,-
group_361,CDKDDEHB_02143,+
tetR,CDKDDEHB_05491,-
nylA_2,CDKDDEHB_05492,+
group_3612,CDKDDEHB_05493,-
dppE_2,CDKDDEHB_05499,+
group_3614,CDKDDEHB_05501,+
group_3615,CDKDDEHB_05503,-
auaG,CDKDDEHB_05504,+
group_3617,CDKDDEHB_05507,-
group_3618,CDKDDEHB_05508,+
speA,CDKDDEHB_05510,+
group_3620,CDKDDEHB_05511,-
uppP,CDKDDEHB_05512,-
group_3622,CDKDDEHB_05513,-
group_3623,CDKDDEHB_05514,-
group_3624,CDKDDEHB_05515,-
tuf_2,CDKDDEHB_05516,+
group_3626,CDKDDEHB_05517,+
argO,CDKDDEHB_05520,-
group_3628,CDKDDEHB_05521,+
speE_3,CDKDDEHB_05523,+
group_3630,CDKDDEHB_05524,-
group_3631,CDKDDEHB_05527,+
sutR_2,CDKDDEHB_05530,+
yccU,CDKDDEHB_05531,-
group_3634,CDKDDEHB_05533,-
group_3635,CDKDDEHB_05538,+
sbcD,CDKDDEHB_05540,+
group_3637,CDKDDEHB_05541,+
group_3638,CDKDDEHB_05544,+
mgl,CDKDDEHB_05547,+
group_364,CDKDDEHB_02279,+
group_3640,CDKDDEHB_05548,-
group_3641,CDKDDEHB_05550,-
group_3642,CDKDDEHB_05554,+
ypeA,CDKDDEHB_05561,+
yheS_2,CDKDDEHB_05562,+
yheS_3,CDKDDEHB_05563,+
bioD,CDKDDEHB_05565,-
bioF_1,CDKDDEHB_05568,+
group_3648,CDKDDEHB_05569,-
group_3649,CDKDDEHB_05570,-
group_365,CDKDDEHB_02286,+
ureA_3,CDKDDEHB_05575,+
ureF_2,CDKDDEHB_05578,+
group_3652,CDKDDEHB_05582,-
group_3653,CDKDDEHB_05584,+
group_3654,CDKDDEHB_05587,-
udgB,CDKDDEHB_05590,+
tauD,CDKDDEHB_05591,+
stp_5,CDKDDEHB_05592,+
btuD_24,CDKDDEHB_05595,-
def_2,CDKDDEHB_05602,+
ramA_2,CDKDDEHB_02332,-
group_3660,CDKDDEHB_05605,+
group_3661,CDKDDEHB_05606,-
group_3662,CDKDDEHB_05610,-
group_3663,CDKDDEHB_05613,+
ycjP_2,CDKDDEHB_05614,+
bglA_3,CDKDDEHB_05615,+
group_3666,CDKDDEHB_05618,+
group_3667,CDKDDEHB_05619,-
group_3668,CDKDDEHB_05621,-
gloB_3,CDKDDEHB_05622,-
sasA_9,CDKDDEHB_05625,+
group_3671,CDKDDEHB_05628,+
sigJ_2,CDKDDEHB_05632,-
group_3673,CDKDDEHB_05635,+
group_3674,CDKDDEHB_05636,+
group_3676,CDKDDEHB_05646,-
group_3677,CDKDDEHB_05648,+
group_3678,CDKDDEHB_05649,-
group_3679,CDKDDEHB_05650,+
ramC_1,CDKDDEHB_02334,-
mutM,CDKDDEHB_05651,+
group_3681,CDKDDEHB_05656,-
group_3682,CDKDDEHB_05657,+
group_3683,CDKDDEHB_05658,-
group_3684,CDKDDEHB_05659,-
group_3685,CDKDDEHB_05661,+
group_3686,CDKDDEHB_05663,+
group_3687,CDKDDEHB_05666,+
fgd_6,CDKDDEHB_05672,-
egtA,CDKDDEHB_05679,-
group_3690,CDKDDEHB_05681,-
pdhD_2,CDKDDEHB_05683,+
group_3692,CDKDDEHB_05684,-
ycdX,CDKDDEHB_05689,+
group_3694,CDKDDEHB_05690,+
carA2,CDKDDEHB_05691,+
pds,CDKDDEHB_05697,-
group_3697,CDKDDEHB_05698,-
group_3698,CDKDDEHB_05699,+
group_3699,CDKDDEHB_05700,-
group_370,CDKDDEHB_02341,+
rosB,CDKDDEHB_05701,+
rpsR1_2,CDKDDEHB_05702,-
yciC_2,CDKDDEHB_05703,-
rpsN,CDKDDEHB_05707,+
group_3704,CDKDDEHB_05708,+
adhA,CDKDDEHB_05710,+
subB,CDKDDEHB_05711,-
mycG_2,CDKDDEHB_05712,-
emrB,CDKDDEHB_05713,-
group_3709,CDKDDEHB_05714,+
group_3711,CDKDDEHB_05721,+
npt,CDKDDEHB_05722,-
group_3713,CDKDDEHB_05723,-
papA3,CDKDDEHB_05725,+
group_3715,CDKDDEHB_05726,-
group_3716,CDKDDEHB_05727,-
group_3717,CDKDDEHB_05741,+
group_3718,CDKDDEHB_05745,-
fimA,CDKDDEHB_05746,-
group_3720,CDKDDEHB_05747,-
mntB_1,CDKDDEHB_05748,-
mntB_2,CDKDDEHB_05749,+
guaD,CDKDDEHB_05750,-
group_3724,CDKDDEHB_05752,-
group_3725,CDKDDEHB_05753,-
group_3726,CDKDDEHB_05756,-
group_3727,CDKDDEHB_05758,-
group_3728,CDKDDEHB_05759,-
pduF,CDKDDEHB_05761,-
entS_7,CDKDDEHB_05762,-
group_3732,CDKDDEHB_05764,+
group_3733,CDKDDEHB_05765,+
group_3734,CDKDDEHB_05766,-
pxpB,CDKDDEHB_05768,+
pxpC,CDKDDEHB_05769,+
group_3737,CDKDDEHB_05775,+
hmuU,CDKDDEHB_05776,+
yusV_2,CDKDDEHB_05778,+
ydhP_1,CDKDDEHB_02377,+
cocE,CDKDDEHB_05781,+
group_3741,CDKDDEHB_05782,+
btuD_25,CDKDDEHB_05784,+
msrA3,CDKDDEHB_05786,-
ysnE,CDKDDEHB_05787,+
maa,CDKDDEHB_05788,+
group_3746,CDKDDEHB_05789,-
rppH_3,CDKDDEHB_05792,-
group_375,CDKDDEHB_02424,-
group_3750,CDKDDEHB_05802,-
fabG_6,CDKDDEHB_05813,-
osmX_2,CDKDDEHB_05819,+
pip_3,CDKDDEHB_05821,+
mca_2,CDKDDEHB_05822,+
qorA_2,CDKDDEHB_05824,+
group_3757,CDKDDEHB_05826,+
appA,CDKDDEHB_05827,+
oppD_6,CDKDDEHB_05830,+
group_3760,CDKDDEHB_05835,-
group_3762,CDKDDEHB_05846,-
group_3763,CDKDDEHB_05848,-
group_3764,CDKDDEHB_05849,-
group_3765,CDKDDEHB_05850,-
group_3766,CDKDDEHB_05852,-
hcaB_4,CDKDDEHB_05853,-
group_3768,CDKDDEHB_05854,+
group_3769,CDKDDEHB_05855,+
group_3770,CDKDDEHB_05856,+
drrB_4,CDKDDEHB_05867,-
drrA_8,CDKDDEHB_05868,-
menF_3,CDKDDEHB_05870,-
pikAV_1,CDKDDEHB_05871,-
group_3775,CDKDDEHB_05880,+
mglA_3,CDKDDEHB_05883,-
group_3777,CDKDDEHB_05884,-
group_3778,CDKDDEHB_05886,-
paaE_2,CDKDDEHB_05890,-
group_378,CDKDDEHB_02500,+
paaD,CDKDDEHB_05891,-
paaC_2,CDKDDEHB_05892,-
paaA_2,CDKDDEHB_05894,-
group_3783,CDKDDEHB_05895,+
group_3784,CDKDDEHB_05898,-
group_3785,CDKDDEHB_05900,+
group_3786,CDKDDEHB_05905,+
afsR_4,CDKDDEHB_05908,+
ramC_2,CDKDDEHB_05909,-
entS_8,CDKDDEHB_05910,-
group_379,CDKDDEHB_03024,+
group_3790,CDKDDEHB_05911,-
group_3791,CDKDDEHB_05912,+
group_3792,CDKDDEHB_05913,+
group_3793,CDKDDEHB_05914,+
group_3794,CDKDDEHB_05915,+
group_3795,CDKDDEHB_05920,+
cysQ,CDKDDEHB_00478,-
group_3801,CDKDDEHB_05667,+
group_3802,CDKDDEHB_05876,+
group_381,CDKDDEHB_02585,+
ygfF_1,CDKDDEHB_02668,+
ygfF_2,CDKDDEHB_03822,+
group_386,CDKDDEHB_02711,-
mtgA_2,CDKDDEHB_02736,+
group_3901,CDKDDEHB_00207,-
btuD_2,CDKDDEHB_00348,+
group_3903,CDKDDEHB_00477,+
group_3904,CDKDDEHB_00515,-
dhpH_1,CDKDDEHB_00627,+
group_3907,CDKDDEHB_00769,-
group_3908,CDKDDEHB_00928,-
group_3909,CDKDDEHB_00997,-
group_391,CDKDDEHB_02743,-
oppD_2,CDKDDEHB_01138,+
group_3911,CDKDDEHB_01208,-
group_3912,CDKDDEHB_01332,-
group_3914,CDKDDEHB_01555,-
group_3915,CDKDDEHB_01610,-
group_3916,CDKDDEHB_01632,-
cshA,CDKDDEHB_01639,+
group_3918,CDKDDEHB_01745,+
group_392,CDKDDEHB_02784,+
group_3921,CDKDDEHB_02086,-
moaE2_2,CDKDDEHB_02132,-
group_3925,CDKDDEHB_02144,+
kshA,CDKDDEHB_02218,-
group_3928,CDKDDEHB_02230,+
group_3929,CDKDDEHB_02242,-
group_393,CDKDDEHB_02787,+
accA1_1,CDKDDEHB_02275,-
ramR,CDKDDEHB_02330,+
group_3932,CDKDDEHB_02364,-
tagU_5,CDKDDEHB_02625,+
group_3934,CDKDDEHB_02647,+
ycnI,CDKDDEHB_02917,+
group_3937,CDKDDEHB_03093,-
group_3938,CDKDDEHB_03118,-
group_3943,CDKDDEHB_03342,+
drrA_4,CDKDDEHB_03353,-
group_3945,CDKDDEHB_03415,+
group_3947,CDKDDEHB_03537,-
group_3948,CDKDDEHB_03609,+
group_3953,CDKDDEHB_03716,-
group_3955,CDKDDEHB_03795,-
group_3956,CDKDDEHB_03811,+
betP_2,CDKDDEHB_03831,+
group_3958,CDKDDEHB_03838,+
group_3959,CDKDDEHB_03866,+
group_3969,CDKDDEHB_04293,-
cpdA_2,CDKDDEHB_02832,+
group_3973,CDKDDEHB_04359,+
dus,CDKDDEHB_04423,+
group_3975,CDKDDEHB_04429,+
iolS_3,CDKDDEHB_04521,+
gadA_2,CDKDDEHB_04604,-
group_3979,CDKDDEHB_04617,+
group_3980,CDKDDEHB_04676,-
group_3981,CDKDDEHB_04749,-
cmoM_3,CDKDDEHB_04783,+
vatD,CDKDDEHB_05134,+
prcA,CDKDDEHB_05189,+
group_3986,CDKDDEHB_05275,+
secD,CDKDDEHB_05342,+
mltG_2,CDKDDEHB_05358,+
group_3989,CDKDDEHB_05427,+
group_399,CDKDDEHB_02840,-
btuD_23,CDKDDEHB_05588,-
dltA_8,CDKDDEHB_05924,+
group_4,CDKDDEHB_03350,+
catJ,CDKDDEHB_00218,+
yfeX,CDKDDEHB_02865,-
lap,CDKDDEHB_02877,+
ydgJ,CDKDDEHB_01752,+
group_4032,CDKDDEHB_02083,-
group_4046,CDKDDEHB_02387,+
group_405,CDKDDEHB_02902,+
group_406,CDKDDEHB_02952,+
group_407,CDKDDEHB_03028,+
mobA,CDKDDEHB_03058,+
group_409,CDKDDEHB_03063,+
yheI_1,CDKDDEHB_00173,+
group_413,CDKDDEHB_03078,+
btuD_16,CDKDDEHB_03098,+
group_417,CDKDDEHB_03111,+
group_418,CDKDDEHB_03126,+
group_422,CDKDDEHB_03141,+
group_423,CDKDDEHB_03165,-
speE_1,CDKDDEHB_03192,+
group_428,CDKDDEHB_03226,-
opuCA_2,CDKDDEHB_03439,-
group_431,CDKDDEHB_03272,+
group_432,CDKDDEHB_03336,+
qacA_4,CDKDDEHB_03402,-
tilS,CDKDDEHB_03430,+
group_438,CDKDDEHB_03445,+
lgrD_2,CDKDDEHB_03448,-
dltA_1,CDKDDEHB_00201,-
dltA_3,CDKDDEHB_03449,-
cseA,CDKDDEHB_03489,-
group_446,CDKDDEHB_03499,+
eis_1,CDKDDEHB_03526,-
group_449,CDKDDEHB_03584,+
group_455,CDKDDEHB_03763,+
group_456,CDKDDEHB_03766,+
group_457,CDKDDEHB_03777,-
group_458,CDKDDEHB_03782,-
group_459,CDKDDEHB_03819,-
group_460,CDKDDEHB_03826,+
group_461,CDKDDEHB_03829,+
group_463,CDKDDEHB_03832,+
group_464,CDKDDEHB_03833,+
group_467,CDKDDEHB_03906,-
egtB_2,CDKDDEHB_03967,+
group_469,CDKDDEHB_04058,+
tet(X)_2,CDKDDEHB_04107,+
group_474,CDKDDEHB_04165,-
group_477,CDKDDEHB_04200,+
accA1_2,CDKDDEHB_04212,-
afsR_3,CDKDDEHB_04250,-
murK_2,CDKDDEHB_04287,-
malQ,CDKDDEHB_04295,+
group_485,CDKDDEHB_04517,+
group_486,CDKDDEHB_04540,-
ykoD,CDKDDEHB_04561,-
chpD,CDKDDEHB_02155,+
mdtD_5,CDKDDEHB_04571,-
group_491,CDKDDEHB_04603,-
group_494,CDKDDEHB_04670,+
cobV,CDKDDEHB_04706,-
pld,CDKDDEHB_04813,-
group_5,CDKDDEHB_02440,+
group_50,CDKDDEHB_02156,+
group_501,CDKDDEHB_04909,+
dapD,CDKDDEHB_04946,+
group_505,CDKDDEHB_04952,-
group_506,CDKDDEHB_05093,-
group_508,CDKDDEHB_05101,-
chpC,CDKDDEHB_05158,+
group_510,CDKDDEHB_05114,-
group_512,CDKDDEHB_05144,-
corA_2,CDKDDEHB_05165,-
group_518,CDKDDEHB_05219,-
group_520,CDKDDEHB_05282,+
lfrA_2,CDKDDEHB_05285,+
group_523,CDKDDEHB_05452,-
group_524,CDKDDEHB_05464,+
group_526,CDKDDEHB_05488,+
yceM,CDKDDEHB_05505,+
group_530,CDKDDEHB_05518,+
nimR_2,CDKDDEHB_05537,-
glpE,CDKDDEHB_05543,+
group_534,CDKDDEHB_05555,+
eis_3,CDKDDEHB_05581,-
hldE,CDKDDEHB_05594,-
group_538,CDKDDEHB_05631,+
group_540,CDKDDEHB_05662,-
group_541,CDKDDEHB_05673,+
group_542,CDKDDEHB_05774,-
hmp_2,CDKDDEHB_05858,-
group_546,CDKDDEHB_05859,+
fadA_3,CDKDDEHB_05865,+
menE,CDKDDEHB_05869,-
dltA_6,CDKDDEHB_05899,-
group_553,CDKDDEHB_05904,-
group_5710,CDKDDEHB_03523,+
glnB_1,CDKDDEHB_01223,-
rpsE,CDKDDEHB_03745,+
hup,CDKDDEHB_01845,-
group_5714,CDKDDEHB_04117,+
group_5715,CDKDDEHB_00431,+
group_5716,CDKDDEHB_03639,+
group_5717,CDKDDEHB_02393,-
rplN,CDKDDEHB_03738,+
coaX,CDKDDEHB_03478,+
group_5720,CDKDDEHB_02343,-
betI_5,CDKDDEHB_01635,+
group_5722,CDKDDEHB_02598,+
group_5723,CDKDDEHB_04432,+
inhA_2,CDKDDEHB_05011,+
rpmJ,CDKDDEHB_03752,+
degU_4,CDKDDEHB_03803,+
glnQ_1,CDKDDEHB_00498,-
livH_2,CDKDDEHB_04876,-
gltA2,CDKDDEHB_04232,+
rpsZ,CDKDDEHB_03741,+
whiB1,CDKDDEHB_01568,+
group_5732,CDKDDEHB_01274,+
folE,CDKDDEHB_03433,+
rpsT,CDKDDEHB_04377,-
rpsI,CDKDDEHB_03760,+
rpoA,CDKDDEHB_03755,+
infA,CDKDDEHB_03751,+
afsQ1,CDKDDEHB_03996,-
pfkA2_1,CDKDDEHB_01408,-
rbfA,CDKDDEHB_01144,-
group_5744,CDKDDEHB_03132,-
psd,CDKDDEHB_00458,+
group_5746,CDKDDEHB_03585,-
group_5747,CDKDDEHB_05357,+
asnC_3,CDKDDEHB_05399,+
rpsH,CDKDDEHB_03742,+
group_5750,CDKDDEHB_03289,+
group_5751,CDKDDEHB_03008,+
ctaE,CDKDDEHB_04731,+
hiuH,CDKDDEHB_00634,-
group_5754,CDKDDEHB_05463,+
ybiT_2,CDKDDEHB_04983,+
group_5756,CDKDDEHB_03908,+
group_5757,CDKDDEHB_03688,+
group_5758,CDKDDEHB_05688,-
ssgB_4,CDKDDEHB_05320,-
pgsA2_2,CDKDDEHB_05460,+
group_5761,CDKDDEHB_03730,+
gdx_1,CDKDDEHB_01592,+
mlaE,CDKDDEHB_00937,-
group_5764,CDKDDEHB_00936,-
hrdB_2,CDKDDEHB_02146,-
kipR,CDKDDEHB_01816,-
whiB_4,CDKDDEHB_04138,+
group_5768,CDKDDEHB_03034,+
rplU,CDKDDEHB_04344,+
azoB_2,CDKDDEHB_02670,+
group_5771,CDKDDEHB_04124,-
yqeY,CDKDDEHB_02737,-
lrp,CDKDDEHB_05424,+
secE,CDKDDEHB_03704,+
group_5775,CDKDDEHB_01449,-
era,CDKDDEHB_04409,+
rpsB,CDKDDEHB_01200,-
ung_2,CDKDDEHB_05500,+
group_5781,CDKDDEHB_03049,+
group_5782,CDKDDEHB_01675,-
group_5783,CDKDDEHB_05057,+
group_5784,CDKDDEHB_04322,+
group_5785,CDKDDEHB_03000,-
group_5786,CDKDDEHB_04647,+
rbpA_1,CDKDDEHB_04925,+
regX3_3,CDKDDEHB_02571,-
purS,CDKDDEHB_02848,-
group_5790,CDKDDEHB_05184,-
rpsL,CDKDDEHB_03719,+
whiB_1,CDKDDEHB_01615,-
group_5793,CDKDDEHB_00757,-
rpmF_2,CDKDDEHB_01235,-
sufC,CDKDDEHB_04942,+
group_5796,CDKDDEHB_00180,-
group_5797,CDKDDEHB_04516,-
cspA,CDKDDEHB_02396,-
group_5799,CDKDDEHB_02287,+
group_58,CDKDDEHB_00133,-
group_5800,CDKDDEHB_04530,+
group_5801,CDKDDEHB_01022,-
group_5802,CDKDDEHB_05906,+
rpmA,CDKDDEHB_04345,+
trkA_1,CDKDDEHB_00995,+
group_5805,CDKDDEHB_01186,+
spo0M,CDKDDEHB_05032,-
suaB,CDKDDEHB_05872,-
crgA,CDKDDEHB_03032,-
group_5809,CDKDDEHB_03181,+
group_5810,CDKDDEHB_00352,-
rpsD,CDKDDEHB_05353,+
glkA_2,CDKDDEHB_04756,+
group_5813,CDKDDEHB_02770,-
group_5814,CDKDDEHB_02763,-
hisN,CDKDDEHB_01594,+
group_5816,CDKDDEHB_03689,-
secG,CDKDDEHB_04924,+
group_5818,CDKDDEHB_04945,+
ung_1,CDKDDEHB_00110,-
group_5820,CDKDDEHB_01133,+
group_5821,CDKDDEHB_02947,-
arc,CDKDDEHB_05185,+
nuoB,CDKDDEHB_03630,+
group_5824,CDKDDEHB_00459,+
rplR,CDKDDEHB_03744,+
group_5826,CDKDDEHB_04711,+
group_5827,CDKDDEHB_05467,+
group_5828,CDKDDEHB_05159,-
group_5829,CDKDDEHB_01944,-
pafC,CDKDDEHB_05196,+
rpmC,CDKDDEHB_03736,+
group_5832,CDKDDEHB_05205,+
group_5833,CDKDDEHB_03572,+
group_5834,CDKDDEHB_01272,+
group_5835,CDKDDEHB_02109,-
group_5836,CDKDDEHB_05197,+
rpsQ,CDKDDEHB_03737,+
group_5838,CDKDDEHB_04720,+
sdhC,CDKDDEHB_03935,-
griR_2,CDKDDEHB_03007,+
phoP,CDKDDEHB_04166,+
rpsK,CDKDDEHB_03754,+
femX,CDKDDEHB_02982,+
rplX,CDKDDEHB_03739,+
rpmE,CDKDDEHB_01475,-
murR,CDKDDEHB_02385,+
rlmN,CDKDDEHB_01195,-
group_5848,CDKDDEHB_01271,+
group_5849,CDKDDEHB_01207,-
mhuD,CDKDDEHB_04556,-
infB,CDKDDEHB_01146,-
dapb3,CDKDDEHB_02672,-
group_5853,CDKDDEHB_01043,+
atpF,CDKDDEHB_01466,-
group_5855,CDKDDEHB_01660,-
frr,CDKDDEHB_01197,-
lexA,CDKDDEHB_01062,+
pdhD_1,CDKDDEHB_04704,-
rpsS,CDKDDEHB_03732,+
group_5860,CDKDDEHB_00251,-
group_5861,CDKDDEHB_01009,-
paaB_1,CDKDDEHB_02166,+
rpmE2_1,CDKDDEHB_00323,+
prs,CDKDDEHB_02063,+
group_5865,CDKDDEHB_02249,-
ino1,CDKDDEHB_02987,+
group_5867,CDKDDEHB_01218,-
bkdB_2,CDKDDEHB_03069,+
group_5869,CDKDDEHB_01638,-
groS_2,CDKDDEHB_03798,+
group_5871,CDKDDEHB_03325,-
ramS,CDKDDEHB_02333,-
kefF,CDKDDEHB_02671,+
group_5874,CDKDDEHB_05465,+
ephA,CDKDDEHB_02723,+
rplP,CDKDDEHB_03735,+
group_5877,CDKDDEHB_01506,-
rpsR1_1,CDKDDEHB_02978,-
thrC,CDKDDEHB_01479,-
secY,CDKDDEHB_03748,+
group_5881,CDKDDEHB_01935,-
rplB,CDKDDEHB_03731,+
gatD,CDKDDEHB_05600,-
group_5884,CDKDDEHB_03337,+
group_5885,CDKDDEHB_05337,+
group_5886,CDKDDEHB_02878,+
rpsJ,CDKDDEHB_03727,+
lrpC_1,CDKDDEHB_03569,+
group_5889,CDKDDEHB_03104,+
hisB,CDKDDEHB_04828,+
group_5891,CDKDDEHB_04357,+
group_5892,CDKDDEHB_01098,-
pup,CDKDDEHB_05187,+
group_5894,CDKDDEHB_04742,-
fabG_5,CDKDDEHB_05498,+
group_5896,CDKDDEHB_05376,+
rpmI,CDKDDEHB_05235,+
trxC,CDKDDEHB_05682,-
ftsX,CDKDDEHB_01861,-
rhaR_1,CDKDDEHB_00137,-
group_5900,CDKDDEHB_05706,+
ppa,CDKDDEHB_03427,-
cheB_2,CDKDDEHB_01115,-
group_5903,CDKDDEHB_05367,-
group_5904,CDKDDEHB_03522,+
hpt,CDKDDEHB_03431,+
group_5906,CDKDDEHB_02757,-
crp_1,CDKDDEHB_02728,+
rplE,CDKDDEHB_03740,+
group_5909,CDKDDEHB_01689,-
group_5910,CDKDDEHB_04803,+
rplF,CDKDDEHB_03743,+
group_5912,CDKDDEHB_02842,+
prr_2,CDKDDEHB_01185,-
algU,CDKDDEHB_05901,+
group_5915,CDKDDEHB_01236,-
ftsE,CDKDDEHB_01862,-
etfB,CDKDDEHB_00085,-
group_5918,CDKDDEHB_02208,+
fabG1,CDKDDEHB_05010,+
ydcV,CDKDDEHB_01174,-
group_5921,CDKDDEHB_01914,-
