Gene,albidoflavus_UYFA156,Sign
apt,OKGGMJON_05502,+
group_3563,OKGGMJON_05507,+
group_3564,OKGGMJON_05513,+
aroE,OKGGMJON_05517,+
group_3566,OKGGMJON_05521,+
pyrR,OKGGMJON_05526,+
group_3568,OKGGMJON_05529,+
group_3569,OKGGMJON_05540,-
group_3570,OKGGMJON_05544,+
group_3572,OKGGMJON_05551,-
ramA_3,OKGGMJON_05554,+
group_3574,OKGGMJON_05560,+
ybjJ_5,OKGGMJON_05561,-
nagC_4,OKGGMJON_05562,+
ribD,OKGGMJON_05564,+
ribE,OKGGMJON_05565,+
group_3579,OKGGMJON_05571,+
tap_4,OKGGMJON_02286,-
group_3580,OKGGMJON_05573,-
chiC,OKGGMJON_05575,-
glpQ_4,OKGGMJON_05585,-
group_3583,OKGGMJON_05586,-
group_3584,OKGGMJON_05595,+
group_3585,OKGGMJON_05597,+
group_3586,OKGGMJON_05598,+
group_3587,OKGGMJON_05599,+
group_3588,OKGGMJON_05600,-
group_3589,OKGGMJON_05602,-
group_3590,OKGGMJON_05603,+
group_3591,OKGGMJON_05605,+
vanX,OKGGMJON_05608,-
group_3593,OKGGMJON_05609,+
group_3594,OKGGMJON_05610,+
group_3595,OKGGMJON_05614,+
group_3596,OKGGMJON_05626,+
dinB1_2,OKGGMJON_05629,+
group_3598,OKGGMJON_05630,-
group_3599,OKGGMJON_05633,-
group_360,OKGGMJON_02290,-
group_3600,OKGGMJON_05635,-
phzF,OKGGMJON_05637,-
group_3602,OKGGMJON_05640,+
group_3603,OKGGMJON_05641,+
group_3604,OKGGMJON_05642,+
group_3605,OKGGMJON_05644,-
group_3606,OKGGMJON_05646,-
oxyR_2,OKGGMJON_05647,+
rcp1_1,OKGGMJON_05650,+
cph1,OKGGMJON_05651,-
group_361,OKGGMJON_02309,+
tetR,OKGGMJON_05652,-
nylA_2,OKGGMJON_05653,+
group_3612,OKGGMJON_05654,-
dppE_2,OKGGMJON_05660,+
group_3614,OKGGMJON_05662,+
group_3615,OKGGMJON_05663,-
auaG,OKGGMJON_05664,+
group_3617,OKGGMJON_05666,-
group_3618,OKGGMJON_05667,+
speA,OKGGMJON_05670,+
group_3620,OKGGMJON_05671,-
uppP,OKGGMJON_05672,-
group_3622,OKGGMJON_05673,-
group_3623,OKGGMJON_05674,-
group_3624,OKGGMJON_05675,-
tuf_2,OKGGMJON_05676,+
group_3626,OKGGMJON_05677,+
argO,OKGGMJON_05679,-
group_3628,OKGGMJON_05680,+
speE_3,OKGGMJON_05681,+
group_3630,OKGGMJON_05682,-
group_3631,OKGGMJON_05685,+
sutR_2,OKGGMJON_05688,+
yccU,OKGGMJON_05689,-
group_3634,OKGGMJON_05691,-
group_3635,OKGGMJON_05698,+
sbcD,OKGGMJON_05699,+
group_3637,OKGGMJON_05700,+
group_3638,OKGGMJON_05703,+
mgl,OKGGMJON_05707,+
group_364,OKGGMJON_02455,+
group_3640,OKGGMJON_05708,-
group_3641,OKGGMJON_05710,-
group_3642,OKGGMJON_05714,+
ypeA,OKGGMJON_05722,+
yheS_2,OKGGMJON_05723,+
yheS_3,OKGGMJON_05724,+
bioD,OKGGMJON_05726,-
bioF_1,OKGGMJON_05729,+
group_3648,OKGGMJON_05730,-
group_3649,OKGGMJON_05731,-
group_365,OKGGMJON_02464,+
ureA_3,OKGGMJON_05736,+
ureF_2,OKGGMJON_05739,+
group_3652,OKGGMJON_05743,-
group_3653,OKGGMJON_05745,+
group_3654,OKGGMJON_05748,-
udgB,OKGGMJON_05751,+
tauD,OKGGMJON_05752,+
stp_5,OKGGMJON_05753,+
btuD_24,OKGGMJON_05760,-
def_2,OKGGMJON_05766,+
ramA_2,OKGGMJON_02516,-
group_3660,OKGGMJON_05769,+
group_3661,OKGGMJON_05770,-
group_3662,OKGGMJON_05774,-
group_3663,OKGGMJON_05778,+
ycjP_2,OKGGMJON_05779,+
bglA_3,OKGGMJON_05780,+
group_3666,OKGGMJON_05783,+
group_3667,OKGGMJON_05784,-
group_3668,OKGGMJON_05787,-
gloB_3,OKGGMJON_05788,-
sasA_9,OKGGMJON_05791,+
group_3671,OKGGMJON_05794,+
sigJ_2,OKGGMJON_05798,-
group_3673,OKGGMJON_05801,+
group_3674,OKGGMJON_05802,+
group_3676,OKGGMJON_05811,-
group_3677,OKGGMJON_05813,+
group_3678,OKGGMJON_05814,-
group_3679,OKGGMJON_05815,+
ramC_1,OKGGMJON_02519,-
mutM,OKGGMJON_05816,+
group_3681,OKGGMJON_05821,-
group_3682,OKGGMJON_05822,+
group_3683,OKGGMJON_05823,-
group_3684,OKGGMJON_05824,-
group_3685,OKGGMJON_05826,+
group_3686,OKGGMJON_05828,+
group_3687,OKGGMJON_05831,+
fgd_6,OKGGMJON_05837,-
egtA,OKGGMJON_05844,-
group_3690,OKGGMJON_05846,-
pdhD_2,OKGGMJON_05848,+
group_3692,OKGGMJON_05852,-
ycdX,OKGGMJON_05856,+
group_3694,OKGGMJON_05857,+
carA2,OKGGMJON_05858,+
pds,OKGGMJON_05863,-
group_3697,OKGGMJON_05864,-
group_3698,OKGGMJON_05865,+
group_3699,OKGGMJON_05866,-
group_370,OKGGMJON_02528,+
rosB,OKGGMJON_05867,+
rpsR1_2,OKGGMJON_05868,-
yciC_2,OKGGMJON_05869,-
rpsN,OKGGMJON_05873,+
group_3704,OKGGMJON_05874,+
adhA,OKGGMJON_05876,+
subB,OKGGMJON_05877,-
mycG_2,OKGGMJON_05878,-
emrB,OKGGMJON_05879,-
group_3709,OKGGMJON_05880,+
group_3711,OKGGMJON_05884,+
npt,OKGGMJON_05885,-
group_3713,OKGGMJON_05886,-
papA3,OKGGMJON_05888,+
group_3715,OKGGMJON_05889,-
group_3716,OKGGMJON_05890,-
group_3717,OKGGMJON_05893,+
group_3718,OKGGMJON_05896,-
fimA,OKGGMJON_05897,-
group_3720,OKGGMJON_05898,-
mntB_1,OKGGMJON_05899,-
mntB_2,OKGGMJON_05900,+
guaD,OKGGMJON_05914,-
group_3724,OKGGMJON_05916,-
group_3725,OKGGMJON_05917,-
group_3726,OKGGMJON_05920,-
group_3727,OKGGMJON_05922,-
group_3728,OKGGMJON_05923,-
pduF,OKGGMJON_05925,-
entS_7,OKGGMJON_05926,-
group_3732,OKGGMJON_05927,+
group_3733,OKGGMJON_05928,+
group_3734,OKGGMJON_05941,-
pxpB,OKGGMJON_05951,+
pxpC,OKGGMJON_05952,+
group_3737,OKGGMJON_05956,+
hmuU,OKGGMJON_05957,+
yusV_2,OKGGMJON_05960,+
ydhP_1,OKGGMJON_02563,+
cocE,OKGGMJON_05963,+
group_3741,OKGGMJON_05964,+
btuD_25,OKGGMJON_05966,+
msrA3,OKGGMJON_05968,-
ysnE,OKGGMJON_05969,+
maa,OKGGMJON_05970,+
group_3746,OKGGMJON_05971,-
rppH_3,OKGGMJON_05974,-
group_375,OKGGMJON_02620,-
group_3750,OKGGMJON_05979,-
fabG_6,OKGGMJON_05989,-
osmX_2,OKGGMJON_05995,+
pip_3,OKGGMJON_05997,+
mca_2,OKGGMJON_05998,+
qorA_2,OKGGMJON_06000,+
group_3757,OKGGMJON_06002,+
appA,OKGGMJON_06003,+
oppD_6,OKGGMJON_06006,+
group_3760,OKGGMJON_06013,-
group_3762,OKGGMJON_06016,-
group_3763,OKGGMJON_06018,-
group_3764,OKGGMJON_06019,-
group_3765,OKGGMJON_06020,-
group_3766,OKGGMJON_06022,-
hcaB_4,OKGGMJON_06023,-
group_3768,OKGGMJON_06024,+
group_3769,OKGGMJON_06025,+
group_3770,OKGGMJON_06026,+
drrB_4,OKGGMJON_06048,-
drrA_8,OKGGMJON_06049,-
menF_3,OKGGMJON_06054,-
pikAV_1,OKGGMJON_06055,-
group_3775,OKGGMJON_06065,+
mglA_3,OKGGMJON_06068,-
group_3777,OKGGMJON_06069,-
group_3778,OKGGMJON_06071,-
paaE_2,OKGGMJON_06076,-
group_378,OKGGMJON_02684,+
paaD,OKGGMJON_06077,-
paaC_2,OKGGMJON_06078,-
paaA_2,OKGGMJON_06080,-
group_3783,OKGGMJON_06081,+
group_3784,OKGGMJON_06084,-
group_3785,OKGGMJON_06086,+
group_3786,OKGGMJON_06093,+
afsR_4,OKGGMJON_06096,+
ramC_2,OKGGMJON_06097,-
entS_8,OKGGMJON_06098,-
group_379,OKGGMJON_03080,-
group_3790,OKGGMJON_06099,-
group_3791,OKGGMJON_06100,+
group_3792,OKGGMJON_06101,+
group_3793,OKGGMJON_06102,+
group_3794,OKGGMJON_06103,+
group_3795,OKGGMJON_06107,+
cysQ,OKGGMJON_00649,-
group_3801,OKGGMJON_05832,+
group_3802,OKGGMJON_06061,+
group_381,OKGGMJON_03506,-
ygfF_1,OKGGMJON_05407,-
ygfF_2,OKGGMJON_03942,+
group_386,OKGGMJON_03420,+
mtgA_2,OKGGMJON_03395,-
group_3901,OKGGMJON_00374,-
btuD_2,OKGGMJON_00515,+
group_3903,OKGGMJON_00648,+
group_3904,OKGGMJON_00683,-
dhpH_1,OKGGMJON_00751,+
group_3907,OKGGMJON_00903,-
group_3908,OKGGMJON_01076,-
group_3909,OKGGMJON_01116,-
group_391,OKGGMJON_03351,+
oppD_2,OKGGMJON_01263,+
group_3911,OKGGMJON_01338,-
group_3912,OKGGMJON_01464,-
group_3914,OKGGMJON_01708,-
group_3915,OKGGMJON_01763,-
group_3916,OKGGMJON_01789,-
cshA,OKGGMJON_01796,+
group_3918,OKGGMJON_01899,+
group_392,OKGGMJON_03312,-
group_3921,OKGGMJON_02254,-
moaE2_2,OKGGMJON_02298,-
group_3925,OKGGMJON_02310,+
kshA,OKGGMJON_02378,-
group_3928,OKGGMJON_02404,+
group_3929,OKGGMJON_02418,-
group_393,OKGGMJON_03309,-
accA1_1,OKGGMJON_02449,-
ramR,OKGGMJON_02512,+
group_3932,OKGGMJON_02549,-
tagU_5,OKGGMJON_03471,-
group_3934,OKGGMJON_03449,-
ycnI,OKGGMJON_03173,-
group_3937,OKGGMJON_03012,+
group_3938,OKGGMJON_02988,+
group_3943,OKGGMJON_02764,-
drrA_4,OKGGMJON_02752,+
group_3945,OKGGMJON_03532,+
group_3947,OKGGMJON_03661,-
group_3948,OKGGMJON_03739,+
group_3953,OKGGMJON_03834,-
group_3955,OKGGMJON_03917,-
group_3956,OKGGMJON_03932,+
betP_2,OKGGMJON_03952,+
group_3958,OKGGMJON_03960,+
group_3959,OKGGMJON_03988,+
group_3969,OKGGMJON_04389,-
cpdA_2,OKGGMJON_03262,-
group_3973,OKGGMJON_04461,+
dus,OKGGMJON_04525,+
group_3975,OKGGMJON_04531,+
iolS_3,OKGGMJON_04626,+
gadA_2,OKGGMJON_04706,-
group_3979,OKGGMJON_04719,+
group_3980,OKGGMJON_04787,-
group_3981,OKGGMJON_04864,-
cmoM_3,OKGGMJON_04901,+
vatD,OKGGMJON_05259,+
prcA,OKGGMJON_05317,+
group_3986,OKGGMJON_05430,+
secD,OKGGMJON_05500,+
mltG_2,OKGGMJON_05516,+
group_3989,OKGGMJON_05582,+
group_399,OKGGMJON_03251,+
btuD_23,OKGGMJON_05749,-
dltA_8,OKGGMJON_06111,+
group_4,OKGGMJON_02756,-
catJ,OKGGMJON_00385,+
yfeX,OKGGMJON_03227,+
lap,OKGGMJON_03216,-
ydgJ,OKGGMJON_01906,+
group_4032,OKGGMJON_02251,-
group_4046,OKGGMJON_02573,+
group_405,OKGGMJON_03188,-
group_406,OKGGMJON_03137,-
group_407,OKGGMJON_03077,-
mobA,OKGGMJON_03045,-
group_409,OKGGMJON_03040,-
yheI_1,OKGGMJON_00336,+
group_413,OKGGMJON_03026,-
btuD_16,OKGGMJON_03007,-
group_417,OKGGMJON_02993,-
group_418,OKGGMJON_02982,-
group_422,OKGGMJON_02969,-
group_423,OKGGMJON_02955,+
speE_1,OKGGMJON_02931,-
group_428,OKGGMJON_02881,+
opuCA_2,OKGGMJON_03556,-
group_431,OKGGMJON_02838,-
group_432,OKGGMJON_02770,-
qacA_4,OKGGMJON_03521,-
tilS,OKGGMJON_03547,+
group_438,OKGGMJON_03562,+
lgrD_2,OKGGMJON_03564,-
dltA_1,OKGGMJON_00364,-
dltA_3,OKGGMJON_03566,-
cseA,OKGGMJON_03609,-
group_446,OKGGMJON_03620,+
eis_1,OKGGMJON_03647,-
group_449,OKGGMJON_03714,+
group_455,OKGGMJON_03887,+
group_456,OKGGMJON_03889,+
group_457,OKGGMJON_03898,-
group_458,OKGGMJON_03905,-
group_459,OKGGMJON_03939,-
group_460,OKGGMJON_03946,+
group_461,OKGGMJON_03950,+
group_463,OKGGMJON_03953,+
group_464,OKGGMJON_03955,+
group_467,OKGGMJON_04030,-
egtB_2,OKGGMJON_04081,+
group_469,OKGGMJON_04172,+
tet(X)_2,OKGGMJON_04205,+
group_474,OKGGMJON_04262,-
group_477,OKGGMJON_04295,+
accA1_2,OKGGMJON_04303,-
afsR_3,OKGGMJON_04345,-
murK_2,OKGGMJON_04383,-
malQ,OKGGMJON_04391,+
group_485,OKGGMJON_04622,+
group_486,OKGGMJON_04645,-
ykoD,OKGGMJON_04667,-
chpD,OKGGMJON_02320,+
mdtD_5,OKGGMJON_04677,-
group_491,OKGGMJON_04705,-
group_494,OKGGMJON_04781,+
cobV,OKGGMJON_04818,-
pld,OKGGMJON_04931,-
group_5,OKGGMJON_02635,+
group_50,OKGGMJON_02321,+
group_501,OKGGMJON_05029,+
dapD,OKGGMJON_05067,+
group_505,OKGGMJON_05074,-
group_506,OKGGMJON_05215,-
group_508,OKGGMJON_05224,-
chpC,OKGGMJON_05286,+
group_510,OKGGMJON_05239,-
group_512,OKGGMJON_05271,-
corA_2,OKGGMJON_05294,-
group_518,OKGGMJON_05351,-
group_520,OKGGMJON_05437,+
lfrA_2,OKGGMJON_05441,+
group_523,OKGGMJON_05611,-
group_524,OKGGMJON_05624,+
group_526,OKGGMJON_05648,+
yceM,OKGGMJON_05665,+
group_530,OKGGMJON_05678,+
nimR_2,OKGGMJON_05697,-
glpE,OKGGMJON_05702,+
group_534,OKGGMJON_05715,+
eis_3,OKGGMJON_05742,-
hldE,OKGGMJON_05755,-
group_538,OKGGMJON_05797,+
group_540,OKGGMJON_05827,-
group_541,OKGGMJON_05838,+
group_542,OKGGMJON_05955,-
hmp_2,OKGGMJON_06028,-
group_546,OKGGMJON_06029,+
fadA_3,OKGGMJON_06045,+
menE,OKGGMJON_06053,-
dltA_6,OKGGMJON_06085,-
group_553,OKGGMJON_06091,-
group_5710,OKGGMJON_03644,+
glnB_1,OKGGMJON_01353,-
rpsE,OKGGMJON_03869,+
hup,OKGGMJON_01991,-
group_5714,OKGGMJON_04215,+
group_5715,OKGGMJON_00601,+
group_5716,OKGGMJON_03769,+
group_5717,OKGGMJON_02578,-
rplN,OKGGMJON_03862,+
coaX,OKGGMJON_03598,+
group_5720,OKGGMJON_02530,-
betI_5,OKGGMJON_01792,+
group_5722,OKGGMJON_03498,-
group_5723,OKGGMJON_04535,+
inhA_2,OKGGMJON_05135,+
rpmJ,OKGGMJON_03876,+
degU_4,OKGGMJON_03925,+
glnQ_1,OKGGMJON_00670,-
livH_2,OKGGMJON_04995,-
gltA2,OKGGMJON_04322,+
rpsZ,OKGGMJON_03865,+
whiB1,OKGGMJON_01721,+
group_5732,OKGGMJON_01405,+
folE,OKGGMJON_03550,+
rpsT,OKGGMJON_04480,-
rpsI,OKGGMJON_03884,+
rpoA,OKGGMJON_03879,+
infA,OKGGMJON_03875,+
afsQ1,OKGGMJON_04108,-
pfkA2_1,OKGGMJON_01542,-
rbfA,OKGGMJON_01272,-
group_5744,OKGGMJON_02976,+
psd,OKGGMJON_00630,+
group_5746,OKGGMJON_03716,-
group_5747,OKGGMJON_05515,+
asnC_3,OKGGMJON_05553,+
rpsH,OKGGMJON_03866,+
group_5750,OKGGMJON_02819,-
group_5751,OKGGMJON_03097,-
ctaE,OKGGMJON_04844,+
hiuH,OKGGMJON_00758,-
group_5754,OKGGMJON_05623,+
ybiT_2,OKGGMJON_05105,+
group_5756,OKGGMJON_04032,+
group_5757,OKGGMJON_03807,+
group_5758,OKGGMJON_05855,-
ssgB_4,OKGGMJON_05478,-
pgsA2_2,OKGGMJON_05620,+
group_5761,OKGGMJON_03854,+
gdx_1,OKGGMJON_01745,+
mlaE,OKGGMJON_01086,-
group_5764,OKGGMJON_01085,-
hrdB_2,OKGGMJON_02312,-
kipR,OKGGMJON_01967,-
whiB_4,OKGGMJON_04238,+
group_5768,OKGGMJON_03071,-
rplU,OKGGMJON_04445,+
azoB_2,OKGGMJON_05405,-
group_5771,OKGGMJON_04222,-
yqeY,OKGGMJON_03393,+
lrp,OKGGMJON_05579,+
secE,OKGGMJON_03822,+
group_5775,OKGGMJON_01596,-
era,OKGGMJON_04512,+
rpsB,OKGGMJON_01329,-
ung_2,OKGGMJON_05661,+
group_5781,OKGGMJON_03054,-
group_5782,OKGGMJON_01832,-
group_5783,OKGGMJON_05181,+
group_5784,OKGGMJON_04420,+
group_5785,OKGGMJON_03105,+
group_5786,OKGGMJON_04753,+
rbpA_1,OKGGMJON_05046,+
regX3_3,OKGGMJON_02716,-
purS,OKGGMJON_03243,+
group_5790,OKGGMJON_05312,-
rpsL,OKGGMJON_03838,+
whiB_1,OKGGMJON_01769,-
group_5793,OKGGMJON_00890,-
rpmF_2,OKGGMJON_01364,-
sufC,OKGGMJON_05063,+
group_5796,OKGGMJON_00344,-
group_5797,OKGGMJON_04621,-
cspA,OKGGMJON_02581,-
group_5799,OKGGMJON_02465,+
group_58,OKGGMJON_00308,-
group_5800,OKGGMJON_04635,+
group_5801,OKGGMJON_01141,-
group_5802,OKGGMJON_06094,+
rpmA,OKGGMJON_04446,+
trkA_1,OKGGMJON_01114,+
group_5805,OKGGMJON_01315,+
spo0M,OKGGMJON_05156,-
suaB,OKGGMJON_06056,-
crgA,OKGGMJON_03073,+
group_5809,OKGGMJON_02938,-
group_5810,OKGGMJON_00519,-
rpsD,OKGGMJON_05511,+
glkA_2,OKGGMJON_04871,+
group_5813,OKGGMJON_03326,+
group_5814,OKGGMJON_03333,+
hisN,OKGGMJON_01747,+
group_5816,OKGGMJON_03808,-
secG,OKGGMJON_05045,+
group_5818,OKGGMJON_05066,+
ung_1,OKGGMJON_00289,-
group_5820,OKGGMJON_01258,+
group_5821,OKGGMJON_03142,+
arc,OKGGMJON_05313,+
nuoB,OKGGMJON_03759,+
group_5824,OKGGMJON_00631,+
rplR,OKGGMJON_03868,+
group_5826,OKGGMJON_04824,+
group_5827,OKGGMJON_05627,+
group_5828,OKGGMJON_05287,-
group_5829,OKGGMJON_02092,-
pafC,OKGGMJON_05325,+
rpmC,OKGGMJON_03860,+
group_5832,OKGGMJON_05335,+
group_5833,OKGGMJON_03700,+
group_5834,OKGGMJON_01402,+
group_5835,OKGGMJON_02275,-
group_5836,OKGGMJON_05326,+
rpsQ,OKGGMJON_03861,+
group_5838,OKGGMJON_04833,+
sdhC,OKGGMJON_04059,-
griR_2,OKGGMJON_03098,-
phoP,OKGGMJON_04263,+
rpsK,OKGGMJON_03878,+
femX,OKGGMJON_03123,-
rplX,OKGGMJON_03863,+
rpmE,OKGGMJON_01622,-
murR,OKGGMJON_02571,+
rlmN,OKGGMJON_01324,-
group_5848,OKGGMJON_01401,+
group_5849,OKGGMJON_01337,-
mhuD,OKGGMJON_04661,-
infB,OKGGMJON_01274,-
dapb3,OKGGMJON_05403,+
group_5853,OKGGMJON_01163,+
atpF,OKGGMJON_01613,-
group_5855,OKGGMJON_01817,-
frr,OKGGMJON_01326,-
lexA,OKGGMJON_01185,+
pdhD_1,OKGGMJON_04816,-
rpsS,OKGGMJON_03856,+
group_5860,OKGGMJON_00417,-
group_5861,OKGGMJON_01128,-
paaB_1,OKGGMJON_02331,+
rpmE2_1,OKGGMJON_00493,+
prs,OKGGMJON_02232,+
group_5865,OKGGMJON_02423,-
ino1,OKGGMJON_03118,-
group_5867,OKGGMJON_01347,-
bkdB_2,OKGGMJON_03034,-
group_5869,OKGGMJON_01795,-
groS_2,OKGGMJON_03920,+
group_5871,OKGGMJON_02783,+
ramS,OKGGMJON_02517,-
kefF,OKGGMJON_05404,-
group_5874,OKGGMJON_05625,+
ephA,OKGGMJON_03408,-
rplP,OKGGMJON_03859,+
group_5877,OKGGMJON_01655,-
rpsR1_1,OKGGMJON_03127,+
thrC,OKGGMJON_01626,-
secY,OKGGMJON_03872,+
group_5881,OKGGMJON_02085,-
rplB,OKGGMJON_03855,+
gatD,OKGGMJON_05764,-
group_5884,OKGGMJON_02769,-
group_5885,OKGGMJON_05495,+
group_5886,OKGGMJON_03215,-
rpsJ,OKGGMJON_03851,+
lrpC_1,OKGGMJON_03697,+
group_5889,OKGGMJON_03000,-
hisB,OKGGMJON_04947,+
group_5891,OKGGMJON_04459,+
group_5892,OKGGMJON_01223,-
pup,OKGGMJON_05315,+
group_5894,OKGGMJON_04856,-
fabG_5,OKGGMJON_05659,+
group_5896,OKGGMJON_05534,+
rpmI,OKGGMJON_05367,+
trxC,OKGGMJON_05847,-
ftsX,OKGGMJON_02008,-
rhaR_1,OKGGMJON_00309,-
group_5900,OKGGMJON_05872,+
ppa,OKGGMJON_03544,-
cheB_2,OKGGMJON_01240,-
group_5903,OKGGMJON_05525,-
group_5904,OKGGMJON_03643,+
hpt,OKGGMJON_03548,+
group_5906,OKGGMJON_03340,+
crp_1,OKGGMJON_03403,-
rplE,OKGGMJON_03864,+
group_5909,OKGGMJON_01845,-
group_5910,OKGGMJON_04921,+
rplF,OKGGMJON_03867,+
group_5912,OKGGMJON_03249,-
prr_2,OKGGMJON_01314,-
algU,OKGGMJON_06087,+
group_5915,OKGGMJON_01365,-
ftsE,OKGGMJON_02009,-
etfB,OKGGMJON_00261,-
group_5918,OKGGMJON_02369,+
fabG1,OKGGMJON_05134,+
ydcV,OKGGMJON_01303,-
group_5921,OKGGMJON_02061,-
group_5922,OKGGMJON_03299,-
group_5923,OKGGMJON_02091,-
ispG,OKGGMJON_01290,-
group_5929,OKGGMJON_05017,+
group_5930,OKGGMJON_01589,+
group_5931,OKGGMJON_05592,-
group_5932,OKGGMJON_01234,-
rbpA_2,OKGGMJON_05583,-
rpoZ,OKGGMJON_05536,+
infC,OKGGMJON_05366,+
prcB,OKGGMJON_05316,+
prmC_2,OKGGMJON_01620,-
novJ_2,OKGGMJON_05658,+
group_5942,OKGGMJON_03399,+
group_5943,OKGGMJON_01687,+
rpmB,OKGGMJON_01372,+
group_5945,OKGGMJON_01607,-
ilvH,OKGGMJON_01454,-
artQ_1,OKGGMJON_01887,+
group_5948,OKGGMJON_05296,+
group_5949,OKGGMJON_03253,+
clpP1_2,OKGGMJON_04424,+
scoF_3,OKGGMJON_04977,+
group_5952,OKGGMJON_02531,-
group_5953,OKGGMJON_01599,-
rpsG,OKGGMJON_03839,+
group_5955,OKGGMJON_04858,+
group_5956,OKGGMJON_03400,+
whiB_2,OKGGMJON_02070,-
rpsF,OKGGMJON_03125,+
mraY,OKGGMJON_04912,+
fadA_4,OKGGMJON_06047,+
carD,OKGGMJON_02714,-
mtcA1,OKGGMJON_04906,-
ectC,OKGGMJON_05085,-
cobO,OKGGMJON_05095,-
glnA_1,OKGGMJON_04735,+
dps_2,OKGGMJON_03486,+
hisE,OKGGMJON_05569,+
yceD_3,OKGGMJON_04637,+
rcp1_2,OKGGMJON_05792,+
lsr2_2,OKGGMJON_03602,+
glyQS,OKGGMJON_04523,+
whmD,OKGGMJON_00482,-
rsbV_3,OKGGMJON_03425,+
cseB_1,OKGGMJON_01674,+
ssuB_2,OKGGMJON_00851,+
group_5975,OKGGMJON_00700,+
rpsO,OKGGMJON_01257,-
group_5977,OKGGMJON_05141,+
rplC,OKGGMJON_03852,+
group_5979,OKGGMJON_01360,-
group_5980,OKGGMJON_03088,-
nuoA,OKGGMJON_03758,+
ccpA_4,OKGGMJON_02784,+
group_5983,OKGGMJON_05106,+
rpsC,OKGGMJON_03858,+
fkbP,OKGGMJON_05323,+
gntR_2,OKGGMJON_04814,-
group_5987,OKGGMJON_05250,-
rpmD,OKGGMJON_03870,+
recR,OKGGMJON_03334,+
rplM,OKGGMJON_03883,+
rsbW,OKGGMJON_01717,+
group_5992,OKGGMJON_05510,+
group_5993,OKGGMJON_05154,-
rpsP,OKGGMJON_01346,-
groS_1,OKGGMJON_01925,-
group_5996,OKGGMJON_01345,-
sucC,OKGGMJON_03985,+
mtrA,OKGGMJON_02043,-
group_5999,OKGGMJON_03072,-
group_60,OKGGMJON_00753,+
ylmA_2,OKGGMJON_05151,+
walK,OKGGMJON_05371,+
group_6002,OKGGMJON_05150,-
group_6003,OKGGMJON_05762,-
secF,OKGGMJON_05501,+
group_6005,OKGGMJON_00974,-
aroB,OKGGMJON_05520,+
group_6007,OKGGMJON_01647,-
yccF,OKGGMJON_03806,+
group_6009,OKGGMJON_03297,-
ycjP_1,OKGGMJON_04754,+
group_6011,OKGGMJON_04281,+
group_6012,OKGGMJON_00580,+
group_6013,OKGGMJON_00656,-
purL,OKGGMJON_03245,+
rplT,OKGGMJON_05368,+
hisS,OKGGMJON_05508,+
purQ,OKGGMJON_03244,+
aviRb_2,OKGGMJON_05369,+
group_6019,OKGGMJON_01255,-
group_6020,OKGGMJON_03651,-
rsfS,OKGGMJON_04462,+
group_6022,OKGGMJON_03911,+
kgd,OKGGMJON_01676,+
recF,OKGGMJON_03096,-
group_6025,OKGGMJON_05007,+
group_6026,OKGGMJON_04192,+
accD5,OKGGMJON_04133,-
dut,OKGGMJON_01124,-
pta,OKGGMJON_01543,+
pdxS,OKGGMJON_05493,+
sdhB,OKGGMJON_04056,-
group_6032,OKGGMJON_02704,-
epi,OKGGMJON_01587,+
corA_1,OKGGMJON_01804,+
paaJ_2,OKGGMJON_02327,+
fusA,OKGGMJON_03840,+
ilvB1,OKGGMJON_01455,-
group_6038,OKGGMJON_01885,-
group_6039,OKGGMJON_04647,-
dtpT_2,OKGGMJON_03781,-
nqo4,OKGGMJON_03589,+
group_6042,OKGGMJON_01600,-
rdlB_2,OKGGMJON_02337,+
tuf_1,OKGGMJON_03841,+
group_6045,OKGGMJON_00858,-
gltC_2,OKGGMJON_04393,+
group_6047,OKGGMJON_02415,+
group_6048,OKGGMJON_01123,-
gltR,OKGGMJON_03139,-
group_6050,OKGGMJON_01549,-
group_6051,OKGGMJON_05147,+
dcd,OKGGMJON_02977,+
cysG_2,OKGGMJON_05456,+
group_6054,OKGGMJON_04902,+
group_6055,OKGGMJON_03146,-
lysA_1,OKGGMJON_01628,-
sepF_2,OKGGMJON_04920,+
potB,OKGGMJON_01304,-
group_6059,OKGGMJON_03740,+
lacC_1,OKGGMJON_00212,+
degU_2,OKGGMJON_02037,-
group_6061,OKGGMJON_02387,-
atpA,OKGGMJON_01611,-
prfA,OKGGMJON_01621,-
xylE,OKGGMJON_01358,-
fgd_2,OKGGMJON_00975,+
cysG_1,OKGGMJON_03656,+
group_6067,OKGGMJON_01800,-
group_6068,OKGGMJON_05718,-
group_6069,OKGGMJON_05103,+
group_607,OKGGMJON_00217,-
ispH2,OKGGMJON_04246,+
bkdB_1,OKGGMJON_03047,-
gntT_1,OKGGMJON_05278,-
group_6073,OKGGMJON_00416,-
sigD,OKGGMJON_01332,-
COQ5_5,OKGGMJON_04672,+
ybiT_1,OKGGMJON_00633,-
yceD_1,OKGGMJON_02614,+
yfmJ_3,OKGGMJON_04608,+
group_6079,OKGGMJON_01874,+
abaF_1,OKGGMJON_00228,+
guaA,OKGGMJON_03940,+
rhmR,OKGGMJON_01386,+
btuD_1,OKGGMJON_00439,-
paaG,OKGGMJON_01818,+
ipuC,OKGGMJON_05356,+
group_6085,OKGGMJON_02244,+
tkt,OKGGMJON_05052,-
