Gene,albidoflavus_W68,Sign
group_3445,PCKCKJGC_05002,+
draG,PCKCKJGC_05010,+
group_3447,PCKCKJGC_05011,+
group_3448,PCKCKJGC_05014,+
plsC_1,PCKCKJGC_05016,+
group_3450,PCKCKJGC_05018,-
mshA_4,PCKCKJGC_05021,+
group_3452,PCKCKJGC_05022,+
group_3453,PCKCKJGC_05023,+
group_3454,PCKCKJGC_05026,-
qacA_6,PCKCKJGC_05027,+
group_3456,PCKCKJGC_05029,+
glnH_3,PCKCKJGC_05030,-
group_3458,PCKCKJGC_05032,+
glnQ_4,PCKCKJGC_05033,+
fliA,PCKCKJGC_02066,+
ntaA,PCKCKJGC_05035,+
sprB,PCKCKJGC_05037,+
sprD,PCKCKJGC_05039,+
dinB1_1,PCKCKJGC_05042,+
group_3464,PCKCKJGC_05044,+
gbpA_3,PCKCKJGC_05045,-
group_3466,PCKCKJGC_05046,-
ytrA_5,PCKCKJGC_05048,+
group_3468,PCKCKJGC_05050,+
group_3469,PCKCKJGC_05055,-
rpoD,PCKCKJGC_03103,-
group_3470,PCKCKJGC_05056,-
group_3471,PCKCKJGC_05057,-
group_3472,PCKCKJGC_05058,-
group_3473,PCKCKJGC_05060,-
group_3474,PCKCKJGC_05062,+
group_3475,PCKCKJGC_05065,-
nagR_4,PCKCKJGC_05066,-
hmgA_2,PCKCKJGC_05067,-
group_3479,PCKCKJGC_05076,-
COQ3_2,PCKCKJGC_02100,-
ettA_4,PCKCKJGC_05080,+
lcfB_2,PCKCKJGC_05083,+
group_3482,PCKCKJGC_05086,-
group_3483,PCKCKJGC_05087,+
group_3484,PCKCKJGC_05088,-
yfcD_2,PCKCKJGC_05090,-
group_3486,PCKCKJGC_05092,-
group_3487,PCKCKJGC_05093,+
cmlA,PCKCKJGC_05094,+
group_3489,PCKCKJGC_05100,-
group_349,PCKCKJGC_02136,-
group_3490,PCKCKJGC_05101,+
group_3491,PCKCKJGC_05107,+
recD2_2,PCKCKJGC_05108,-
yajO_3,PCKCKJGC_05109,-
group_3494,PCKCKJGC_05111,+
pspA,PCKCKJGC_05113,+
group_3496,PCKCKJGC_05115,+
group_3497,PCKCKJGC_05117,-
glpD,PCKCKJGC_05118,-
glpF,PCKCKJGC_05120,-
group_3500,PCKCKJGC_05124,+
group_3501,PCKCKJGC_05126,-
group_3502,PCKCKJGC_05137,+
pafA,PCKCKJGC_05138,+
group_3504,PCKCKJGC_05144,+
dagK,PCKCKJGC_05147,+
ptlI,PCKCKJGC_05149,+
group_3507,PCKCKJGC_05155,-
group_3508,PCKCKJGC_05156,-
rskA,PCKCKJGC_05159,-
group_351,PCKCKJGC_02144,-
sigK,PCKCKJGC_05160,-
group_3511,PCKCKJGC_05161,-
opuAA_2,PCKCKJGC_05163,+
group_3513,PCKCKJGC_05164,+
group_3514,PCKCKJGC_05168,-
lldR_2,PCKCKJGC_05170,-
feaB,PCKCKJGC_05172,+
group_3517,PCKCKJGC_05176,+
group_3518,PCKCKJGC_05177,+
group_3519,PCKCKJGC_05178,+
aqpZ,PCKCKJGC_05179,+
group_3521,PCKCKJGC_05180,-
group_3522,PCKCKJGC_05185,+
pheT,PCKCKJGC_05188,+
group_3524,PCKCKJGC_05224,-
group_3525,PCKCKJGC_05225,+
group_3526,PCKCKJGC_05226,+
group_3527,PCKCKJGC_05230,+
group_3528,PCKCKJGC_05231,+
group_3529,PCKCKJGC_05233,-
pspB,PCKCKJGC_02151,+
group_3531,PCKCKJGC_05234,+
group_3532,PCKCKJGC_05235,-
folD_2,PCKCKJGC_05236,+
group_3534,PCKCKJGC_05237,-
argC,PCKCKJGC_05239,+
group_3537,PCKCKJGC_05246,+
ydfJ_3,PCKCKJGC_05247,+
panS,PCKCKJGC_05248,-
group_3540,PCKCKJGC_05249,-
group_3541,PCKCKJGC_05252,-
group_3542,PCKCKJGC_05257,+
vldH,PCKCKJGC_05261,+
metP,PCKCKJGC_05263,+
metQ,PCKCKJGC_05265,+
cobT_2,PCKCKJGC_05268,+
group_3547,PCKCKJGC_05270,+
group_3548,PCKCKJGC_05272,+
group_3549,PCKCKJGC_05275,+
pip_2,PCKCKJGC_02154,+
dat_2,PCKCKJGC_05283,+
mshD_5,PCKCKJGC_05284,+
group_3552,PCKCKJGC_05285,-
group_3553,PCKCKJGC_05286,+
group_3554,PCKCKJGC_05288,-
group_3555,PCKCKJGC_05290,+
group_3556,PCKCKJGC_05294,-
group_3557,PCKCKJGC_05295,-
group_3558,PCKCKJGC_05297,-
group_3559,PCKCKJGC_05303,+
lcpB_2,PCKCKJGC_02156,-
pdxT,PCKCKJGC_05305,+
ruvB_1,PCKCKJGC_05309,+
apt,PCKCKJGC_05313,+
group_3563,PCKCKJGC_05318,+
group_3564,PCKCKJGC_05324,+
aroE,PCKCKJGC_05328,+
group_3566,PCKCKJGC_05332,+
pyrR,PCKCKJGC_05337,+
group_3568,PCKCKJGC_05340,+
group_3569,PCKCKJGC_05351,-
group_3570,PCKCKJGC_05355,+
group_3572,PCKCKJGC_05362,-
ramA_3,PCKCKJGC_05365,+
group_3574,PCKCKJGC_05371,+
ybjJ_5,PCKCKJGC_05372,-
nagC_4,PCKCKJGC_05373,+
ribD,PCKCKJGC_05375,+
ribE,PCKCKJGC_05376,+
group_3579,PCKCKJGC_05382,+
tap_4,PCKCKJGC_02221,-
group_3580,PCKCKJGC_05384,-
chiC,PCKCKJGC_05386,-
glpQ_4,PCKCKJGC_05396,-
group_3583,PCKCKJGC_05397,-
group_3584,PCKCKJGC_05402,+
group_3585,PCKCKJGC_05404,+
group_3586,PCKCKJGC_05405,+
group_3587,PCKCKJGC_05406,+
group_3588,PCKCKJGC_05407,-
group_3589,PCKCKJGC_05409,-
group_3590,PCKCKJGC_05410,+
group_3591,PCKCKJGC_05412,+
vanX,PCKCKJGC_05415,-
group_3593,PCKCKJGC_05416,+
group_3594,PCKCKJGC_05417,+
group_3595,PCKCKJGC_05420,+
group_3596,PCKCKJGC_05432,+
dinB1_2,PCKCKJGC_05435,+
group_3598,PCKCKJGC_05436,-
group_3599,PCKCKJGC_05439,-
group_360,PCKCKJGC_02224,-
group_3600,PCKCKJGC_05441,-
phzF,PCKCKJGC_05443,-
group_3602,PCKCKJGC_05446,+
group_3603,PCKCKJGC_05447,+
group_3604,PCKCKJGC_05448,+
group_3605,PCKCKJGC_05450,-
group_3606,PCKCKJGC_05452,-
oxyR_2,PCKCKJGC_05453,+
rcp1_1,PCKCKJGC_05455,+
cph1,PCKCKJGC_05456,-
group_361,PCKCKJGC_02242,+
tetR,PCKCKJGC_05457,-
nylA_2,PCKCKJGC_05458,+
group_3612,PCKCKJGC_05459,-
dppE_2,PCKCKJGC_05465,+
group_3614,PCKCKJGC_05467,+
group_3615,PCKCKJGC_05468,-
auaG,PCKCKJGC_05469,+
group_3617,PCKCKJGC_05472,-
group_3618,PCKCKJGC_05473,+
speA,PCKCKJGC_05475,+
group_3620,PCKCKJGC_05476,-
uppP,PCKCKJGC_05477,-
group_3622,PCKCKJGC_05478,-
group_3623,PCKCKJGC_05479,-
group_3624,PCKCKJGC_05480,-
tuf_2,PCKCKJGC_05481,+
group_3626,PCKCKJGC_05482,+
argO,PCKCKJGC_05484,-
group_3628,PCKCKJGC_05485,+
speE_3,PCKCKJGC_05486,+
group_3630,PCKCKJGC_05487,-
group_3631,PCKCKJGC_05490,+
sutR_2,PCKCKJGC_05493,+
yccU,PCKCKJGC_05494,-
group_3634,PCKCKJGC_05496,-
group_3635,PCKCKJGC_05501,+
sbcD,PCKCKJGC_05502,+
group_3637,PCKCKJGC_05503,+
group_3638,PCKCKJGC_05506,+
mgl,PCKCKJGC_05509,+
group_364,PCKCKJGC_02378,+
group_3640,PCKCKJGC_05510,-
group_3641,PCKCKJGC_05512,-
group_3642,PCKCKJGC_05516,+
ypeA,PCKCKJGC_05525,+
yheS_2,PCKCKJGC_05526,+
yheS_3,PCKCKJGC_05527,+
bioD,PCKCKJGC_05529,-
bioF_1,PCKCKJGC_05532,+
group_3648,PCKCKJGC_05533,-
group_3649,PCKCKJGC_05534,-
group_365,PCKCKJGC_02387,+
ureA_3,PCKCKJGC_05539,+
ureF_2,PCKCKJGC_05542,+
group_3652,PCKCKJGC_05547,-
group_3653,PCKCKJGC_05549,+
group_3654,PCKCKJGC_05552,-
udgB,PCKCKJGC_05555,+
tauD,PCKCKJGC_05556,+
stp_5,PCKCKJGC_05557,+
btuD_24,PCKCKJGC_05564,-
def_2,PCKCKJGC_05571,+
ramA_2,PCKCKJGC_02433,-
group_3660,PCKCKJGC_05574,+
group_3661,PCKCKJGC_05575,-
group_3662,PCKCKJGC_05579,-
group_3663,PCKCKJGC_05582,+
ycjP_2,PCKCKJGC_05583,+
bglA_3,PCKCKJGC_05584,+
group_3666,PCKCKJGC_05587,+
group_3667,PCKCKJGC_05588,-
group_3668,PCKCKJGC_05591,-
gloB_3,PCKCKJGC_05592,-
sasA_9,PCKCKJGC_05595,+
group_3671,PCKCKJGC_05598,+
sigJ_2,PCKCKJGC_05603,-
group_3673,PCKCKJGC_05606,+
group_3674,PCKCKJGC_05607,+
group_3676,PCKCKJGC_05617,-
group_3677,PCKCKJGC_05619,+
group_3678,PCKCKJGC_05620,-
group_3679,PCKCKJGC_05621,+
ramC_1,PCKCKJGC_02435,-
mutM,PCKCKJGC_05622,+
group_3681,PCKCKJGC_05627,-
group_3682,PCKCKJGC_05628,+
group_3683,PCKCKJGC_05629,-
group_3684,PCKCKJGC_05630,-
group_3685,PCKCKJGC_05632,+
group_3686,PCKCKJGC_05634,+
group_3687,PCKCKJGC_05637,+
fgd_6,PCKCKJGC_05643,-
egtA,PCKCKJGC_05650,-
group_3690,PCKCKJGC_05652,-
pdhD_2,PCKCKJGC_05654,+
group_3692,PCKCKJGC_05658,-
ycdX,PCKCKJGC_05662,+
group_3694,PCKCKJGC_05663,+
carA2,PCKCKJGC_05664,+
pds,PCKCKJGC_05668,-
group_3697,PCKCKJGC_05669,-
group_3698,PCKCKJGC_05670,+
group_3699,PCKCKJGC_05671,-
group_370,PCKCKJGC_02443,+
rosB,PCKCKJGC_05672,+
rpsR1_2,PCKCKJGC_05673,-
yciC_2,PCKCKJGC_05674,-
rpsN,PCKCKJGC_05678,+
group_3704,PCKCKJGC_05679,+
adhA,PCKCKJGC_05681,+
subB,PCKCKJGC_05682,-
mycG_2,PCKCKJGC_05683,-
emrB,PCKCKJGC_05684,-
group_3709,PCKCKJGC_05685,+
group_3711,PCKCKJGC_05690,+
npt,PCKCKJGC_05691,-
group_3713,PCKCKJGC_05692,-
papA3,PCKCKJGC_05694,+
group_3715,PCKCKJGC_05695,-
group_3716,PCKCKJGC_05696,-
group_3717,PCKCKJGC_05699,+
group_3718,PCKCKJGC_05702,-
fimA,PCKCKJGC_05703,-
group_3720,PCKCKJGC_05704,-
mntB_1,PCKCKJGC_05705,-
mntB_2,PCKCKJGC_05706,+
guaD,PCKCKJGC_05718,-
group_3724,PCKCKJGC_05720,-
group_3725,PCKCKJGC_05721,-
group_3726,PCKCKJGC_05724,-
group_3727,PCKCKJGC_05726,-
group_3728,PCKCKJGC_05727,-
pduF,PCKCKJGC_05729,-
entS_7,PCKCKJGC_05730,-
group_3732,PCKCKJGC_05732,+
group_3733,PCKCKJGC_05733,+
group_3734,PCKCKJGC_05743,-
pxpB,PCKCKJGC_05752,+
pxpC,PCKCKJGC_05753,+
group_3737,PCKCKJGC_05756,+
hmuU,PCKCKJGC_05757,+
yusV_2,PCKCKJGC_05759,+
ydhP_1,PCKCKJGC_02481,+
cocE,PCKCKJGC_05762,+
group_3741,PCKCKJGC_05763,+
btuD_25,PCKCKJGC_05765,+
msrA3,PCKCKJGC_05767,-
ysnE,PCKCKJGC_05768,+
maa,PCKCKJGC_05769,+
group_3746,PCKCKJGC_05770,-
rppH_3,PCKCKJGC_05773,-
group_375,PCKCKJGC_02540,-
group_3750,PCKCKJGC_05778,-
fabG_6,PCKCKJGC_05788,-
osmX_2,PCKCKJGC_05794,+
pip_3,PCKCKJGC_05796,+
mca_2,PCKCKJGC_05797,+
qorA_2,PCKCKJGC_05799,+
group_3757,PCKCKJGC_05801,+
appA,PCKCKJGC_05802,+
oppD_6,PCKCKJGC_05805,+
group_3760,PCKCKJGC_05813,-
group_3762,PCKCKJGC_05816,-
group_3763,PCKCKJGC_05818,-
group_3764,PCKCKJGC_05819,-
group_3765,PCKCKJGC_05820,-
group_3766,PCKCKJGC_05822,-
hcaB_4,PCKCKJGC_05823,-
group_3768,PCKCKJGC_05824,+
group_3769,PCKCKJGC_05825,+
group_3770,PCKCKJGC_05826,+
drrB_4,PCKCKJGC_05840,-
drrA_8,PCKCKJGC_05841,-
menF_3,PCKCKJGC_05843,-
pikAV_1,PCKCKJGC_05844,-
group_3775,PCKCKJGC_05853,+
mglA_3,PCKCKJGC_05856,-
group_3777,PCKCKJGC_05857,-
group_3778,PCKCKJGC_05859,-
paaE_2,PCKCKJGC_05864,-
group_378,PCKCKJGC_02602,+
paaD,PCKCKJGC_05865,-
paaC_2,PCKCKJGC_05866,-
paaA_2,PCKCKJGC_05868,-
group_3783,PCKCKJGC_05869,+
group_3784,PCKCKJGC_05872,-
group_3785,PCKCKJGC_05875,+
group_3786,PCKCKJGC_05879,+
afsR_4,PCKCKJGC_05882,+
ramC_2,PCKCKJGC_05883,-
entS_8,PCKCKJGC_05884,-
group_379,PCKCKJGC_02983,-
group_3790,PCKCKJGC_05885,-
group_3791,PCKCKJGC_05886,+
group_3792,PCKCKJGC_05887,+
group_3793,PCKCKJGC_05888,+
group_3794,PCKCKJGC_05889,+
group_3795,PCKCKJGC_05893,+
cysQ,PCKCKJGC_00631,-
group_3801,PCKCKJGC_05638,+
group_3802,PCKCKJGC_05849,+
group_381,PCKCKJGC_03379,-
ygfF_1,PCKCKJGC_05221,-
ygfF_2,PCKCKJGC_03801,+
group_386,PCKCKJGC_03294,+
mtgA_2,PCKCKJGC_03269,-
group_3901,PCKCKJGC_00358,-
btuD_2,PCKCKJGC_00497,+
group_3903,PCKCKJGC_00630,+
group_3904,PCKCKJGC_00664,-
dhpH_1,PCKCKJGC_00730,+
group_3907,PCKCKJGC_00883,-
group_3908,PCKCKJGC_01023,-
group_3909,PCKCKJGC_01065,-
group_391,PCKCKJGC_03262,+
oppD_2,PCKCKJGC_01209,+
group_3911,PCKCKJGC_01282,-
group_3912,PCKCKJGC_01403,-
group_3914,PCKCKJGC_01656,-
group_3915,PCKCKJGC_01710,-
group_3916,PCKCKJGC_01733,-
cshA,PCKCKJGC_01740,+
group_3918,PCKCKJGC_01846,+
group_392,PCKCKJGC_03224,-
group_3921,PCKCKJGC_02189,-
moaE2_2,PCKCKJGC_02231,-
group_3925,PCKCKJGC_02243,+
kshA,PCKCKJGC_02307,-
group_3928,PCKCKJGC_02331,+
group_3929,PCKCKJGC_02344,-
group_393,PCKCKJGC_03221,-
accA1_1,PCKCKJGC_02374,-
ramR,PCKCKJGC_02431,+
group_3932,PCKCKJGC_02467,-
tagU_5,PCKCKJGC_03343,-
group_3934,PCKCKJGC_03321,-
ycnI,PCKCKJGC_03072,-
group_3937,PCKCKJGC_02913,+
group_3938,PCKCKJGC_02890,+
group_3943,PCKCKJGC_02680,-
drrA_4,PCKCKJGC_02670,+
group_3945,PCKCKJGC_03404,+
group_3947,PCKCKJGC_03529,-
group_3948,PCKCKJGC_03599,+
group_3953,PCKCKJGC_03692,-
group_3955,PCKCKJGC_03776,-
group_3956,PCKCKJGC_03791,+
betP_2,PCKCKJGC_03810,+
group_3958,PCKCKJGC_03818,+
group_3959,PCKCKJGC_03845,+
group_3969,PCKCKJGC_04229,-
cpdA_2,PCKCKJGC_03175,-
group_3973,PCKCKJGC_04301,+
dus,PCKCKJGC_04364,+
group_3975,PCKCKJGC_04370,+
iolS_3,PCKCKJGC_04463,+
gadA_2,PCKCKJGC_04543,-
group_3979,PCKCKJGC_04556,+
group_3980,PCKCKJGC_04619,-
group_3981,PCKCKJGC_04694,-
cmoM_3,PCKCKJGC_04729,+
vatD,PCKCKJGC_05081,+
prcA,PCKCKJGC_05135,+
group_3986,PCKCKJGC_05244,+
secD,PCKCKJGC_05311,+
mltG_2,PCKCKJGC_05327,+
group_3989,PCKCKJGC_05393,+
group_399,PCKCKJGC_03166,+
btuD_23,PCKCKJGC_05553,-
dltA_8,PCKCKJGC_05897,+
group_4,PCKCKJGC_02672,-
catJ,PCKCKJGC_00370,+
yfeX,PCKCKJGC_03125,+
lap,PCKCKJGC_03114,-
ydgJ,PCKCKJGC_01853,+
group_4032,PCKCKJGC_02186,-
group_4046,PCKCKJGC_02491,+
group_405,PCKCKJGC_03087,-
group_406,PCKCKJGC_03037,-
group_407,PCKCKJGC_02980,-
mobA,PCKCKJGC_02950,-
group_409,PCKCKJGC_02945,-
yheI_1,PCKCKJGC_00325,+
group_413,PCKCKJGC_02929,-
btuD_16,PCKCKJGC_02908,-
group_417,PCKCKJGC_02895,-
group_418,PCKCKJGC_02884,-
group_422,PCKCKJGC_02871,-
group_423,PCKCKJGC_02857,+
speE_1,PCKCKJGC_02831,-
group_428,PCKCKJGC_02787,+
opuCA_2,PCKCKJGC_03428,-
group_431,PCKCKJGC_02746,-
group_432,PCKCKJGC_02686,-
qacA_4,PCKCKJGC_03393,-
tilS,PCKCKJGC_03419,+
group_438,PCKCKJGC_03434,+
lgrD_2,PCKCKJGC_03437,-
dltA_1,PCKCKJGC_00352,-
dltA_3,PCKCKJGC_03438,-
cseA,PCKCKJGC_03479,-
group_446,PCKCKJGC_03489,+
eis_1,PCKCKJGC_03516,-
group_449,PCKCKJGC_03581,+
group_455,PCKCKJGC_03744,+
group_456,PCKCKJGC_03746,+
group_457,PCKCKJGC_03756,-
group_458,PCKCKJGC_03763,-
group_459,PCKCKJGC_03798,-
group_460,PCKCKJGC_03805,+
group_461,PCKCKJGC_03808,+
group_463,PCKCKJGC_03811,+
group_464,PCKCKJGC_03812,+
group_467,PCKCKJGC_03886,-
egtB_2,PCKCKJGC_03931,+
group_469,PCKCKJGC_04022,+
tet(X)_2,PCKCKJGC_04054,+
group_474,PCKCKJGC_04110,-
group_477,PCKCKJGC_04142,+
accA1_2,PCKCKJGC_04150,-
afsR_3,PCKCKJGC_04185,-
murK_2,PCKCKJGC_04223,-
malQ,PCKCKJGC_04232,+
group_485,PCKCKJGC_04459,+
group_486,PCKCKJGC_04482,-
ykoD,PCKCKJGC_04503,-
chpD,PCKCKJGC_02254,+
mdtD_5,PCKCKJGC_04513,-
group_491,PCKCKJGC_04542,-
group_494,PCKCKJGC_04613,+
cobV,PCKCKJGC_04649,-
pld,PCKCKJGC_04758,-
group_5,PCKCKJGC_02555,+
group_50,PCKCKJGC_02255,+
group_501,PCKCKJGC_04854,+
dapD,PCKCKJGC_04891,+
group_505,PCKCKJGC_04897,-
group_506,PCKCKJGC_05040,-
group_508,PCKCKJGC_05049,-
chpC,PCKCKJGC_05105,+
group_510,PCKCKJGC_05064,-
group_512,PCKCKJGC_05091,-
corA_2,PCKCKJGC_05112,-
group_518,PCKCKJGC_05166,-
group_520,PCKCKJGC_05251,+
lfrA_2,PCKCKJGC_05254,+
group_523,PCKCKJGC_05418,-
group_524,PCKCKJGC_05430,+
group_526,PCKCKJGC_05454,+
yceM,PCKCKJGC_05470,+
group_530,PCKCKJGC_05483,+
nimR_2,PCKCKJGC_05500,-
glpE,PCKCKJGC_05505,+
group_534,PCKCKJGC_05517,+
eis_3,PCKCKJGC_05545,-
hldE,PCKCKJGC_05559,-
group_538,PCKCKJGC_05601,+
group_540,PCKCKJGC_05633,-
group_541,PCKCKJGC_05644,+
group_542,PCKCKJGC_05755,-
hmp_2,PCKCKJGC_05828,-
group_546,PCKCKJGC_05829,+
fadA_3,PCKCKJGC_05838,+
menE,PCKCKJGC_05842,-
dltA_6,PCKCKJGC_05873,-
group_553,PCKCKJGC_05878,-
group_5710,PCKCKJGC_03513,+
glnB_1,PCKCKJGC_01297,-
rpsE,PCKCKJGC_03726,+
hup,PCKCKJGC_01939,-
group_5714,PCKCKJGC_04064,+
group_5715,PCKCKJGC_00581,+
group_5716,PCKCKJGC_03628,+
group_5717,PCKCKJGC_02496,-
rplN,PCKCKJGC_03719,+
coaX,PCKCKJGC_03468,+
group_5720,PCKCKJGC_02445,-
betI_5,PCKCKJGC_01736,+
group_5722,PCKCKJGC_03371,-
group_5723,PCKCKJGC_04374,+
inhA_2,PCKCKJGC_04959,+
rpmJ,PCKCKJGC_03733,+
degU_4,PCKCKJGC_03784,+
glnQ_1,PCKCKJGC_00651,-
livH_2,PCKCKJGC_04821,-
gltA2,PCKCKJGC_04167,+
rpsZ,PCKCKJGC_03722,+
whiB1,PCKCKJGC_01669,+
group_5732,PCKCKJGC_01349,+
folE,PCKCKJGC_03422,+
rpsT,PCKCKJGC_04319,-
rpsI,PCKCKJGC_03741,+
rpoA,PCKCKJGC_03736,+
infA,PCKCKJGC_03732,+
afsQ1,PCKCKJGC_03957,-
pfkA2_1,PCKCKJGC_01502,-
rbfA,PCKCKJGC_01215,-
group_5744,PCKCKJGC_02879,+
psd,PCKCKJGC_00611,+
group_5746,PCKCKJGC_03582,-
group_5747,PCKCKJGC_05326,+
asnC_3,PCKCKJGC_05364,+
rpsH,PCKCKJGC_03723,+
group_5750,PCKCKJGC_02730,-
group_5751,PCKCKJGC_02998,-
ctaE,PCKCKJGC_04675,+
hiuH,PCKCKJGC_00738,-
group_5754,PCKCKJGC_05429,+
ybiT_2,PCKCKJGC_04928,+
group_5756,PCKCKJGC_03888,+
group_5757,PCKCKJGC_03665,+
group_5758,PCKCKJGC_05661,-
ssgB_4,PCKCKJGC_05289,-
pgsA2_2,PCKCKJGC_05426,+
group_5761,PCKCKJGC_03711,+
gdx_1,PCKCKJGC_01692,+
mlaE,PCKCKJGC_01032,-
group_5764,PCKCKJGC_01031,-
hrdB_2,PCKCKJGC_02245,-
kipR,PCKCKJGC_01916,-
whiB_4,PCKCKJGC_04088,+
group_5768,PCKCKJGC_02974,-
rplU,PCKCKJGC_04285,+
azoB_2,PCKCKJGC_05219,-
group_5771,PCKCKJGC_04071,-
yqeY,PCKCKJGC_03268,+
lrp,PCKCKJGC_05390,+
secE,PCKCKJGC_03680,+
group_5775,PCKCKJGC_01547,-
era,PCKCKJGC_04351,+
rpsB,PCKCKJGC_01274,-
ung_2,PCKCKJGC_05466,+
group_5781,PCKCKJGC_02959,-
group_5782,PCKCKJGC_01779,-
group_5783,PCKCKJGC_05005,+
group_5784,PCKCKJGC_04261,+
group_5785,PCKCKJGC_03005,+
group_5786,PCKCKJGC_04587,+
rbpA_1,PCKCKJGC_04870,+
regX3_3,PCKCKJGC_02634,-
purS,PCKCKJGC_03158,+
group_5790,PCKCKJGC_05130,-
rpsL,PCKCKJGC_03695,+
whiB_1,PCKCKJGC_01715,-
group_5793,PCKCKJGC_00871,-
rpmF_2,PCKCKJGC_01309,-
sufC,PCKCKJGC_04887,+
group_5796,PCKCKJGC_00332,-
group_5797,PCKCKJGC_04458,-
cspA,PCKCKJGC_02499,-
group_5799,PCKCKJGC_02388,+
group_58,PCKCKJGC_00295,-
group_5800,PCKCKJGC_04472,+
group_5801,PCKCKJGC_01090,-
group_5802,PCKCKJGC_05880,+
rpmA,PCKCKJGC_04286,+
trkA_1,PCKCKJGC_01063,+
group_5805,PCKCKJGC_01258,+
spo0M,PCKCKJGC_04980,-
suaB,PCKCKJGC_05845,-
crgA,PCKCKJGC_02976,+
group_5809,PCKCKJGC_02839,-
group_5810,PCKCKJGC_00501,-
rpsD,PCKCKJGC_05322,+
glkA_2,PCKCKJGC_04702,+
group_5813,PCKCKJGC_03237,+
group_5814,PCKCKJGC_03244,+
hisN,PCKCKJGC_01694,+
group_5816,PCKCKJGC_03666,-
secG,PCKCKJGC_04869,+
group_5818,PCKCKJGC_04890,+
ung_1,PCKCKJGC_00278,-
group_5820,PCKCKJGC_01204,+
group_5821,PCKCKJGC_03042,+
arc,PCKCKJGC_05131,+
nuoB,PCKCKJGC_03618,+
group_5824,PCKCKJGC_00612,+
rplR,PCKCKJGC_03725,+
group_5826,PCKCKJGC_04654,+
group_5827,PCKCKJGC_05433,+
group_5828,PCKCKJGC_05106,-
group_5829,PCKCKJGC_02037,-
pafC,PCKCKJGC_05142,+
rpmC,PCKCKJGC_03717,+
group_5832,PCKCKJGC_05151,+
group_5833,PCKCKJGC_03567,+
group_5834,PCKCKJGC_01347,+
group_5835,PCKCKJGC_02210,-
group_5836,PCKCKJGC_05143,+
rpsQ,PCKCKJGC_03718,+
group_5838,PCKCKJGC_04664,+
sdhC,PCKCKJGC_03909,-
griR_2,PCKCKJGC_02999,-
phoP,PCKCKJGC_04111,+
rpsK,PCKCKJGC_03735,+
femX,PCKCKJGC_03023,-
rplX,PCKCKJGC_03720,+
rpmE,PCKCKJGC_01573,-
murR,PCKCKJGC_02489,+
rlmN,PCKCKJGC_01269,-
group_5848,PCKCKJGC_01346,+
group_5849,PCKCKJGC_01281,-
mhuD,PCKCKJGC_04498,-
infB,PCKCKJGC_01217,-
dapb3,PCKCKJGC_05217,+
group_5853,PCKCKJGC_01110,+
atpF,PCKCKJGC_01564,-
group_5855,PCKCKJGC_01764,-
frr,PCKCKJGC_01271,-
lexA,PCKCKJGC_01131,+
pdhD_1,PCKCKJGC_04647,-
rpsS,PCKCKJGC_03713,+
group_5860,PCKCKJGC_00401,-
group_5861,PCKCKJGC_01077,-
paaB_1,PCKCKJGC_02265,+
rpmE2_1,PCKCKJGC_00475,+
prs,PCKCKJGC_02167,+
group_5865,PCKCKJGC_02349,-
ino1,PCKCKJGC_03018,-
group_5867,PCKCKJGC_01291,-
bkdB_2,PCKCKJGC_02939,-
group_5869,PCKCKJGC_01739,-
groS_2,PCKCKJGC_03779,+
group_5871,PCKCKJGC_02697,+
ramS,PCKCKJGC_02434,-
kefF,PCKCKJGC_05218,-
group_5874,PCKCKJGC_05431,+
ephA,PCKCKJGC_03282,-
rplP,PCKCKJGC_03716,+
group_5877,PCKCKJGC_01607,-
rpsR1_1,PCKCKJGC_03027,+
thrC,PCKCKJGC_01577,-
secY,PCKCKJGC_03729,+
group_5881,PCKCKJGC_02032,-
rplB,PCKCKJGC_03712,+
gatD,PCKCKJGC_05569,-
group_5884,PCKCKJGC_02685,-
group_5885,PCKCKJGC_05306,+
group_5886,PCKCKJGC_03113,-
rpsJ,PCKCKJGC_03708,+
lrpC_1,PCKCKJGC_03564,+
group_5889,PCKCKJGC_02902,-
hisB,PCKCKJGC_04773,+
group_5891,PCKCKJGC_04299,+
group_5892,PCKCKJGC_01169,-
pup,PCKCKJGC_05133,+
group_5894,PCKCKJGC_04687,-
fabG_5,PCKCKJGC_05464,+
group_5896,PCKCKJGC_05345,+
rpmI,PCKCKJGC_05182,+
trxC,PCKCKJGC_05653,-
ftsX,PCKCKJGC_01955,-
rhaR_1,PCKCKJGC_00296,-
group_5900,PCKCKJGC_05677,+
ppa,PCKCKJGC_03416,-
cheB_2,PCKCKJGC_01186,-
group_5903,PCKCKJGC_05336,-
group_5904,PCKCKJGC_03512,+
hpt,PCKCKJGC_03420,+
group_5906,PCKCKJGC_03251,+
crp_1,PCKCKJGC_03277,-
rplE,PCKCKJGC_03721,+
group_5909,PCKCKJGC_01793,-
group_5910,PCKCKJGC_04748,+
rplF,PCKCKJGC_03724,+
group_5912,PCKCKJGC_03164,-
prr_2,PCKCKJGC_01257,-
algU,PCKCKJGC_05876,+
group_5915,PCKCKJGC_01310,-
ftsE,PCKCKJGC_01956,-
etfB,PCKCKJGC_00250,-
group_5918,PCKCKJGC_02298,+
fabG1,PCKCKJGC_04958,+
ydcV,PCKCKJGC_01246,-
group_5921,PCKCKJGC_02011,-
