"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","albidoflavus_J1074","albidoflavus_J1074_R2","albidoflavus_SM254","albidoflavus_UYFA156","albidoflavus_W68"
"yhaZ","","putative protein YhaZ","2","2","1","1","966","6","5","","1121","1121","1121","","","","albidoflavus_UYFA156_00029","albidoflavus_W68_00018"
"hcaR","","Hca operon transcriptional activator HcaR","2","2","1","1","308","4","8","","902","902","902","","","","albidoflavus_UYFA156_00160","albidoflavus_W68_00132"
"group_808","","putative 5-dehydro-4-deoxyglucarate dehydratase","2","2","1","1","307","4","7","","926","926","926","","","","albidoflavus_UYFA156_00161","albidoflavus_W68_00133"
"group_809","","Alpha-ketoglutaric semialdehyde dehydrogenase 2","2","2","1","1","306","4","6","","1616","1616","1616","","","","albidoflavus_UYFA156_00162","albidoflavus_W68_00134"
"group_810","","hypothetical protein","2","2","1","1","305","4","5","","857","857","857","","","","albidoflavus_UYFA156_00163","albidoflavus_W68_00135"
"group_811","","hypothetical protein","2","2","1","1","189","4","4","","1025","1025","1025","","","","albidoflavus_UYFA156_00164","albidoflavus_W68_00136"
"ssuB","","Aliphatic sulfonates import ATP-binding protein SsuB","2","2","1","1","190","4","3","","779","779","779","","","","albidoflavus_UYFA156_00165","albidoflavus_W68_00137"
"group_813","","hypothetical protein","2","2","1","1","191","4","2","","1649","1649","1649","","","","albidoflavus_UYFA156_00166","albidoflavus_W68_00138"
"group_814","","hypothetical protein","2","2","1","1","192","4","1","","458","458","458","","","","albidoflavus_UYFA156_00167","albidoflavus_W68_00139"
"group_815","","hypothetical protein","2","2","1","1","187","46","1","","2003","2003","2003","","","","albidoflavus_UYFA156_00171","albidoflavus_W68_00143"
"rppH","","RNA pyrophosphohydrolase","2","2","1","1","326","7","2","","464","464","464","","","","albidoflavus_UYFA156_00173","albidoflavus_W68_00145"
"group_817","","Putative transport protein","2","2","1","1","332","7","5","","1109","1109","1109","","","","albidoflavus_UYFA156_00176","albidoflavus_W68_00148"
"group_819","","hypothetical protein","2","2","1","1","406","14","2","","824","824","824","","","","albidoflavus_UYFA156_00204","albidoflavus_W68_00174"
"fabG_3","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","1","407","14","3","","755","755","755","","","","albidoflavus_UYFA156_00205","albidoflavus_W68_00175"
"ywnA","","Putative HTH-type transcriptional regulator YwnA","2","2","1","1","408","14","1","","434","434","434","","","","albidoflavus_UYFA156_00206","albidoflavus_W68_00176"
"btuC","","Vitamin B12 import system permease protein BtuC","2","2","1","1","65","9","6","","1058","1058","1058","","","","albidoflavus_UYFA156_00276","albidoflavus_W68_00242"
"btuF","","Vitamin B12-binding protein","2","2","1","1","66","9","2","","1007","1007","1007","","","","albidoflavus_UYFA156_00277","albidoflavus_W68_00243"
"group_827","","hypothetical protein","2","2","1","1","602","8","2","","449","449","449","","","","albidoflavus_UYFA156_00279","albidoflavus_W68_00246"
"group_828","","hypothetical protein","2","2","1","1","601","8","3","","899","899","899","","","","albidoflavus_UYFA156_00280","albidoflavus_W68_00247"
"group_829","","hypothetical protein","2","2","1","1","600","8","4","","809","809","809","","","","albidoflavus_UYFA156_00281","albidoflavus_W68_00248"
"group_83","","hypothetical protein","2","2","1","1","195","24","1","","467","467","467","","","","albidoflavus_UYFA156_00135","albidoflavus_W68_00106"
"group_830","","hypothetical protein","2","2","1","1","599","8","1","","1652","1652","1652","","","","albidoflavus_UYFA156_00282","albidoflavus_W68_00249"
"group_831","","hypothetical protein","2","2","1","1","102","1","1","","857","857","857","","","","albidoflavus_UYFA156_00284","albidoflavus_W68_00251"
"azoB","","NAD(P)H azoreductase","2","2","1","1","101","1","2","","830","830","830","","","","albidoflavus_UYFA156_00285","albidoflavus_W68_00252"
"group_833","","hypothetical protein","2","2","1","1","100","1","3","","1529","1529","1529","","","","albidoflavus_UYFA156_00286","albidoflavus_W68_00253"
"group_834","","hypothetical protein","2","2","1","1","98","1","64","","1448","1448","1448","","","","albidoflavus_UYFA156_00288","albidoflavus_W68_00255"
"group_835","","hypothetical protein","2","2","1","1","97","1","63","","305","305","305","","","","albidoflavus_UYFA156_00289","albidoflavus_W68_00257"
"purA","","Adenylosuccinate synthetase","2","2","1","1","93","1","60","","1283","1283","1283","","","","albidoflavus_UYFA156_00292","albidoflavus_W68_00259"
"group_838","","hypothetical protein","2","2","1","1","540","1","56","","374","374","374","","","","albidoflavus_UYFA156_00296","albidoflavus_W68_00264"
"cadI","","Cadmium-induced protein CadI","2","2","1","1","541","1","55","","437","437","437","","","","albidoflavus_UYFA156_00297","albidoflavus_W68_00265"
"menH","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2","2","1","1","542","1","54","","827","827","827","","","","albidoflavus_UYFA156_00298","albidoflavus_W68_00266"
"group_841","","Cytochrome P450 165B3","2","2","1","1","543","1","53","","1325","1325","1325","","","","albidoflavus_UYFA156_00299","albidoflavus_W68_00267"
"group_842","","hypothetical protein","2","2","1","1","544","1","52","","1292","1292","1292","","","","albidoflavus_UYFA156_00300","albidoflavus_W68_00268"
"group_843","entS_2","Enterobactin exporter EntS","2","2","1","1","547","1","49","","1301","1301","1301","","","","albidoflavus_UYFA156_00303","albidoflavus_W68_00270"
"group_844","lgrD_4","Linear gramicidin synthase subunit D","2","2","1","1","552","1","44","","9677","9677","9677","","","","albidoflavus_UYFA156_00309","albidoflavus_W68_00272"
"group_845","","hypothetical protein","2","2","1","1","553","1","43","","1325","1325","1325","","","","albidoflavus_UYFA156_00310","albidoflavus_W68_00273"
"group_846","","hypothetical protein","2","2","1","1","554","1","42","","2642","2642","2642","","","","albidoflavus_UYFA156_00311","albidoflavus_W68_00274"
"group_847","yknY","putative ABC transporter ATP-binding protein YknY","2","2","1","1","555","1","41","","740","740","740","","","","albidoflavus_UYFA156_00312","albidoflavus_W68_00275"
"group_848","","ISAzo13 family transposase ISSaci1","2","2","1","1","557","1","39","","989","989","989","","","","albidoflavus_UYFA156_00314","albidoflavus_W68_00277"
"mppJ","","Phenylpyruvate C(3)-methyltransferase","2","2","1","1","558","1","38","","1004","1004","1004","","","","albidoflavus_UYFA156_00315","albidoflavus_W68_00278"
"pat","","Putative phenylalanine aminotransferase","2","2","1","1","559","1","37","","1013","1013","1013","","","","albidoflavus_UYFA156_00316","albidoflavus_W68_00279"
"mbtH","","Protein MbtH","2","2","1","1","560","1","36","","209","209","209","","","","albidoflavus_UYFA156_00317","albidoflavus_W68_00280"
"group_852","mppO","Enduracididine beta-hydroxylase","2","2","1","1","561","1","35","","962","962","962","","","","albidoflavus_UYFA156_00318","albidoflavus_W68_00281"
"group_853","","hypothetical protein","2","2","1","1","562","1","34","","980","980","980","","","","albidoflavus_UYFA156_00319","albidoflavus_W68_00282"
"group_854","","hypothetical protein","2","2","1","1","563","1","33","","2099","2099","2099","","","","albidoflavus_UYFA156_00320","albidoflavus_W68_00283"
"group_855","","hypothetical protein","2","2","1","1","567","1","29","","245","245","245","","","","albidoflavus_UYFA156_00324","albidoflavus_W68_00287"
"group_856","","hypothetical protein","2","2","1","1","568","1","28","","848","848","848","","","","albidoflavus_UYFA156_00325","albidoflavus_W68_00288"
"group_857","","hypothetical protein","2","2","1","1","569","1","27","","509","509","509","","","","albidoflavus_UYFA156_00326","albidoflavus_W68_00289"
"ydaF_1","","Putative ribosomal N-acetyltransferase YdaF","2","2","1","1","570","43","1","","542","542","542","","","","albidoflavus_UYFA156_00349","albidoflavus_W68_00292"
"pspB","","Putative phosphoserine phosphatase 2","2","2","1","1","42","10","1","","632","632","632","","","","albidoflavus_UYFA156_00373","albidoflavus_W68_00310"
"ilvE","","Branched-chain-amino-acid aminotransferase","2","2","1","1","35","39","1","","1088","1088","1088","","","","albidoflavus_UYFA156_00418","albidoflavus_W68_00353"
"group_884","","hypothetical protein","2","2","1","1","30","15","1","","386","386","386","","","","albidoflavus_UYFA156_00436","albidoflavus_W68_00370"
"group_885","","hypothetical protein","2","2","1","1","32","13","2","","365","365","365","","","","albidoflavus_UYFA156_00439","albidoflavus_W68_00373"
"hflX","","GTPase HflX","2","2","1","1","31","13","1","","590","590","590","","","","albidoflavus_UYFA156_00440","albidoflavus_W68_00374"
"group_888","","hypothetical protein","2","2","1","1","798","12","1","","461","461","461","","","","albidoflavus_UYFA156_00460","albidoflavus_W68_00393"
"group_890","","hypothetical protein","2","2","1","1","1026","2","9","","1430","1430","1430","","","","albidoflavus_UYFA156_00522","albidoflavus_W68_00454"
"group_895","","hypothetical protein","2","2","1","1","898","51","14","","677","677","677","","","","albidoflavus_UYFA156_00558","albidoflavus_W68_00486"
"group_896","","hypothetical protein","2","2","1","1","890","51","23","","368","368","368","","","","albidoflavus_UYFA156_00564","albidoflavus_W68_00494"
"bioF","","8-amino-7-oxononanoate synthase","2","2","1","1","967","6","4","","3743","3749","3746","","","","albidoflavus_UYFA156_00028","albidoflavus_W68_00017"
"group_917","","hypothetical protein","2","2","1","1","962","57","26","","308","308","308","albidoflavus_J1074_00625","albidoflavus_J1074_R2_00700","","",""
"group_940","","hypothetical protein","2","2","1","1","1006","57","4","","6128","6128","6128","albidoflavus_J1074_00019","albidoflavus_J1074_R2_00019","","",""
"yhaZ_1","","putative protein YhaZ","2","2","1","1","1005","57","5","","1121","1121","1121","albidoflavus_J1074_00018","albidoflavus_J1074_R2_00018","","",""
"bioF_1","","8-amino-7-oxononanoate synthase","2","2","1","1","1004","57","6","","3755","3755","3755","albidoflavus_J1074_00017","albidoflavus_J1074_R2_00017","","",""
"fpuB","","Petrobactin import system permease protein FpuB","2","2","1","1","893","51","20","","2135","2135","2135","","","albidoflavus_SM254_00061","","albidoflavus_W68_00490"
"group_100","fadA_1","3-ketoacyl-CoA thiolase","1","1","1","1","208","37","1","","12092","12092","12092","","","","albidoflavus_UYFA156_00100",""
"group_111","","hypothetical protein","1","1","1","1","6","49","1","","350","350","350","","","","albidoflavus_UYFA156_00476",""
"dinG_2","","putative ATP-dependent helicase DinG ","1","1","1","1","720","48","1","","575","575","575","","","","albidoflavus_UYFA156_00448",""
"mfd_1","","Transcription-repair-coupling factor","1","1","1","1","36","33","1","","1955","1955","1955","","","","albidoflavus_UYFA156_00396",""
"per_2","","GDP-perosamine synthase","1","1","1","1","211","31","1","","452","452","452","","","","albidoflavus_UYFA156_00088",""
"group_166","lgrD_3","Linear gramicidin synthase subunit D","1","1","1","1","27","55","1","","1400","1400","1400","","albidoflavus_J1074_R2_00170","","",""
"group_173","","hypothetical protein","1","1","1","1","964","6","6","","3410","3410","3410","","","","albidoflavus_UYFA156_00031",""
"group_175","","hypothetical protein","1","1","1","1","193","20","1","","389","389","389","","","","","albidoflavus_W68_00109"
"group_177","","hypothetical protein","1","1","1","1","545","1","50","","365","365","365","","","","albidoflavus_UYFA156_00302",""
"group_179","","IS5 family transposase IS112","1","1","1","1","947","57","33","","689","689","689","","albidoflavus_J1074_R2_00715","","",""
"group_18","","hypothetical protein","1","1","1","1","840","11","4","","2231","2231","2231","","","","albidoflavus_UYFA156_00504",""
"group_180","","IS5 family transposase IS112","1","1","1","1","932","57","11","","689","689","689","albidoflavus_J1074_00640","","","",""
"group_181","","IS5 family transposase IS112","1","1","1","1","729","55","41","","770","770","770","","","albidoflavus_SM254_00193","",""
"group_183","","hypothetical protein","1","1","1","1","950","57","36","","1040","1040","1040","","albidoflavus_J1074_R2_00712","","",""
"group_184","","hypothetical protein","1","1","1","1","935","57","14","","1040","1040","1040","albidoflavus_J1074_00637","","","",""
"group_186","lcdH_4","L-carnitine dehydrogenase","1","1","1","1","936","57","15","","479","479","479","albidoflavus_J1074_00636","","","",""
"lcdH_4","","L-carnitine dehydrogenase","1","1","1","1","951","57","37","","479","479","479","","albidoflavus_J1074_R2_00711","","",""
"lcdH_3","","L-carnitine dehydrogenase","1","1","1","1","952","57","38","","1031","1031","1031","","albidoflavus_J1074_R2_00710","","",""
"group_19","","hypothetical protein","1","1","1","1","845","11","1","","1526","1526","1526","","","","albidoflavus_UYFA156_00507",""
"group_190","lcdH_3","L-carnitine dehydrogenase","1","1","1","1","937","57","16","","1031","1031","1031","albidoflavus_J1074_00635","","","",""
"pikAI_4","","Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2","1","1","1","1","201","5","2","","5840","5840","5840","","","","albidoflavus_UYFA156_00113",""
"group_20","","hypothetical protein","1","1","1","1","844","11","2","","1526","1526","1526","","","","albidoflavus_UYFA156_00506",""
"group_200","","hypothetical protein","1","1","1","1","56","51","45","","1478","1478","1478","","","albidoflavus_SM254_00035","",""
"lgrD_6","","Linear gramicidin synthase subunit D","1","1","1","1","874","51","5","","4058","4058","4058","","","","albidoflavus_UYFA156_00549",""
"group_24","","hypothetical protein","1","1","1","1","873","51","6","","2483","2483","2483","","","","albidoflavus_UYFA156_00550",""
"lgrB_2","","Linear gramicidin synthase subunit B","1","1","1","1","548","1","45","","434","434","434","","","","albidoflavus_UYFA156_00304",""
"lgrB_3","","Linear gramicidin synthase subunit B","1","1","1","1","549","1","46","","3728","3728","3728","","","","albidoflavus_UYFA156_00305",""
"lgrB_4","","Linear gramicidin synthase subunit B","1","1","1","1","550","1","47","","764","764","764","","","","albidoflavus_UYFA156_00306",""
"lgrB_5","","Linear gramicidin synthase subunit B","1","1","1","1","536","1","6","","6101","6101","6101","","","","albidoflavus_UYFA156_00308",""
"group_3","","Phenolphthiocerol synthesis polyketide synthase type I Pks15/1","1","1","1","1","203","5","5","","4190","4190","4190","","","","albidoflavus_UYFA156_00110",""
"dhbF_2","","Dimodular nonribosomal peptide synthase","1","1","1","1","872","22","1","","3437","3437","3437","","","","albidoflavus_UYFA156_00547",""
"lgrD_5","","Linear gramicidin synthase subunit D","1","1","1","1","871","22","2","","2123","2123","2123","","","","albidoflavus_UYFA156_00546",""
"group_33","dhbF","Dimodular nonribosomal peptide synthase","1","1","1","1","1009","28","1","","3437","3437","3437","","","","","albidoflavus_W68_00478"
"group_368","","hypothetical protein","1","1","1","1","55","51","44","","977","977","977","","","albidoflavus_SM254_00036","",""
"pikAIII","","Narbonolide/10-deoxymethynolide synthase PikA3, module 5","1","1","1","1","202","5","4","","1091","1091","1091","","","","albidoflavus_UYFA156_00111",""
"ramB_1","","ABC transporter ATP-binding protein RamB","1","1","1","1","639","23","1","","908","908","908","","","","albidoflavus_UYFA156_00360",""
"group_415","","hypothetical protein","1","1","1","1","933","57","12","","584","584","584","albidoflavus_J1074_00639","","","",""
"group_416","","hypothetical protein","1","1","1","1","948","57","34","","584","584","584","","albidoflavus_J1074_R2_00714","","",""
"group_418","","hypothetical protein","1","1","1","1","934","57","13","","836","836","836","albidoflavus_J1074_00638","","","",""
"group_419","","hypothetical protein","1","1","1","1","949","57","35","","836","836","836","","albidoflavus_J1074_R2_00713","","",""
"group_43","lgrD_1","Linear gramicidin synthase subunit D","1","1","1","1","142","18","2","","7229","7229","7229","","","","albidoflavus_UYFA156_00248",""
"grsB_1","","Gramicidin S synthase 2","1","1","1","1","139","18","3","","1196","1196","1196","","","","albidoflavus_UYFA156_00249",""
"pksJ","","Polyketide synthase PksJ","1","1","1","1","214","35","1","","2258","2258","2258","","","","albidoflavus_UYFA156_00056",""
"group_49","","hypothetical protein","1","1","1","1","213","36","1","","353","353","353","","","","albidoflavus_UYFA156_00058",""
"pikAI_3","","Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2","1","1","1","1","204","5","6","","5279","5279","5279","","","","albidoflavus_UYFA156_00109",""
"group_503","","hypothetical protein","1","1","1","1","28","55","27","","644","644","644","albidoflavus_J1074_00186","","","",""
"betI_3","","HTH-type transcriptional regulator BetI","1","1","1","1","939","57","18","","857","857","857","albidoflavus_J1074_00633","","","",""
"group_52","betI_3","HTH-type transcriptional regulator BetI","1","1","1","1","954","57","40","","857","857","857","","albidoflavus_J1074_R2_00708","","",""
"group_55","","hypothetical protein","1","1","1","1","841","11","3","","380","380","380","","","","albidoflavus_UYFA156_00503",""
"aguA_2","","Agmatine deiminase","1","1","1","1","34","47","1","","572","572","572","","","","albidoflavus_UYFA156_00422",""
"group_6","","hypothetical protein","1","1","1","1","206","5","8","","3557","3557","3557","","","","albidoflavus_UYFA156_00107",""
"group_62","","hypothetical protein","1","1","1","1","679","21","2","","302","302","302","","","","albidoflavus_UYFA156_00405",""
"mngR","","Mannosyl-D-glycerate transport/metabolism system repressor MngR","1","1","1","1","43","62","2","","731","731","731","","albidoflavus_J1074_R2_00260","","",""
"group_635","","hypothetical protein","1","1","1","1","596","58","2","","797","797","797","","albidoflavus_J1074_R2_00289","","",""
"group_636","","hypothetical protein","1","1","1","1","595","58","3","","692","692","692","","albidoflavus_J1074_R2_00290","","",""
"group_637","","hypothetical protein","1","1","1","1","594","58","4","","380","380","380","","albidoflavus_J1074_R2_00291","","",""
"group_638","","hypothetical protein","1","1","1","1","593","58","5","","407","407","407","","albidoflavus_J1074_R2_00292","","",""
"group_639","","hypothetical protein","1","1","1","1","592","58","6","","620","620","620","","albidoflavus_J1074_R2_00293","","",""
"group_640","","hypothetical protein","1","1","1","1","591","58","7","","575","575","575","","albidoflavus_J1074_R2_00294","","",""
"group_641","","hypothetical protein","1","1","1","1","590","58","8","","1274","1274","1274","","albidoflavus_J1074_R2_00295","","",""
"liaR_1","","Transcriptional regulatory protein LiaR","1","1","1","1","589","58","9","","659","659","659","","albidoflavus_J1074_R2_00296","","",""
"group_643","","hypothetical protein","1","1","1","1","588","58","10","","578","578","578","","albidoflavus_J1074_R2_00297","","",""
"coaBC","","Coenzyme A biosynthesis bifunctional protein CoaBC","1","1","1","1","587","58","11","","542","542","542","","albidoflavus_J1074_R2_00298","","",""
"group_645","","hypothetical protein","1","1","1","1","586","58","12","","1352","1352","1352","","albidoflavus_J1074_R2_00299","","",""
"group_646","","hypothetical protein","1","1","1","1","585","58","13","","590","590","590","","albidoflavus_J1074_R2_00300","","",""
"group_647","","hypothetical protein","1","1","1","1","584","58","14","","197","197","197","","albidoflavus_J1074_R2_00301","","",""
"group_648","","hypothetical protein","1","1","1","1","583","58","15","","218","218","218","","albidoflavus_J1074_R2_00302","","",""
"group_649","","hypothetical protein","1","1","1","1","582","58","16","","257","257","257","","albidoflavus_J1074_R2_00303","","",""
"group_650","","hypothetical protein","1","1","1","1","68","58","17","","185","185","185","","albidoflavus_J1074_R2_00304","","",""
"pcm","","Protein-L-isoaspartate O-methyltransferase","1","1","1","1","69","58","18","","1271","1271","1271","","albidoflavus_J1074_R2_00305","","",""
"group_652","","hypothetical protein","1","1","1","1","70","58","19","","554","554","554","","albidoflavus_J1074_R2_00306","","",""
"group_653","","hypothetical protein","1","1","1","1","71","58","20","","557","557","557","","albidoflavus_J1074_R2_00307","","",""
"pstS1","","Phosphate-binding protein PstS 1","1","1","1","1","72","58","21","","1043","1043","1043","","albidoflavus_J1074_R2_00308","","",""
"group_655","","hypothetical protein","1","1","1","1","73","58","22","","554","554","554","","albidoflavus_J1074_R2_00309","","",""
"group_656","","hypothetical protein","1","1","1","1","74","58","23","","1841","1841","1841","","albidoflavus_J1074_R2_00310","","",""
"group_657","","hypothetical protein","1","1","1","1","111","53","72","","1817","1817","1817","","albidoflavus_J1074_R2_00348","","",""
"lgrD_4","","Linear gramicidin synthase subunit D","1","1","1","1","75","58","24","","2414","2414","2414","","albidoflavus_J1074_R2_00312","","",""
"group_659","lgrD_5","Linear gramicidin synthase subunit D","1","1","1","1","110","53","71","","2414","2414","2414","","albidoflavus_J1074_R2_00346","","",""
"group_660","","Cystathionine beta-lyase","1","1","1","1","76","58","25","","1199","1199","1199","","albidoflavus_J1074_R2_00313","","",""
"group_661","","Cystathionine beta-lyase","1","1","1","1","109","53","70","","1199","1199","1199","","albidoflavus_J1074_R2_00345","","",""
"group_662","","hypothetical protein","1","1","1","1","77","58","26","","1928","1928","1928","","albidoflavus_J1074_R2_00314","","",""
"group_663","","hypothetical protein","1","1","1","1","108","53","69","","1928","1928","1928","","albidoflavus_J1074_R2_00344","","",""
"pknD_1","","Serine/threonine-protein kinase PknD","1","1","1","1","78","58","27","","1316","1316","1316","","albidoflavus_J1074_R2_00315","","",""
"pknD_2","","Serine/threonine-protein kinase PknD","1","1","1","1","107","53","68","","1316","1316","1316","","albidoflavus_J1074_R2_00343","","",""
"group_666","","Cytochrome P450 107B1","1","1","1","1","79","58","28","","428","428","428","","albidoflavus_J1074_R2_00316","","",""
"group_667","","Cytochrome P450 107B1","1","1","1","1","106","53","67","","428","428","428","","albidoflavus_J1074_R2_00342","","",""
"pikC_1","","Cytochrome P450 monooxygenase PikC","1","1","1","1","80","58","29","","710","710","710","","albidoflavus_J1074_R2_00317","","",""
"pikC_2","","Cytochrome P450 monooxygenase PikC","1","1","1","1","105","53","66","","710","710","710","","albidoflavus_J1074_R2_00341","","",""
"group_67","","hypothetical protein","1","1","1","1","655","25","1","","884","884","884","","","","albidoflavus_UYFA156_00381",""
"tetR_1","","Tetracycline repressor protein class E","1","1","1","1","81","58","30","","671","671","671","","albidoflavus_J1074_R2_00318","","",""
"tetR_2","","Tetracycline repressor protein class E","1","1","1","1","104","53","65","","671","671","671","","albidoflavus_J1074_R2_00340","","",""
"qacA_1","","Antiseptic resistance protein","1","1","1","1","82","58","31","","1676","1676","1676","","albidoflavus_J1074_R2_00319","","",""
"qacA_2","","Antiseptic resistance protein","1","1","1","1","103","53","64","","1676","1676","1676","","albidoflavus_J1074_R2_00339","","",""
"acpP_1","","Acyl carrier protein","1","1","1","1","83","58","32","","230","230","230","","albidoflavus_J1074_R2_00320","","",""
"acpP_2","","Acyl carrier protein","1","1","1","1","507","53","63","","230","230","230","","albidoflavus_J1074_R2_00338","","",""
"fabH_1","","3-oxoacyl-[acyl-carrier-protein] synthase 3","1","1","1","1","84","58","33","","1034","1034","1034","","albidoflavus_J1074_R2_00321","","",""
"fabH_6","","3-oxoacyl-[acyl-carrier-protein] synthase 3","1","1","1","1","508","53","62","","1034","1034","1034","","albidoflavus_J1074_R2_00337","","",""
"group_678","","hypothetical protein","1","1","1","1","85","58","34","","1319","1319","1319","","albidoflavus_J1074_R2_00322","","",""
"group_679","","hypothetical protein","1","1","1","1","509","53","61","","1319","1319","1319","","albidoflavus_J1074_R2_00336","","",""
"fabF_1","","3-oxoacyl-[acyl-carrier-protein] synthase 2","1","1","1","1","86","58","40","","1265","1265","1265","","albidoflavus_J1074_R2_00323","","",""
"fabF_2","","3-oxoacyl-[acyl-carrier-protein] synthase 2","1","1","1","1","510","53","60","","1265","1265","1265","","albidoflavus_J1074_R2_00335","","",""
"group_682","","hypothetical protein","1","1","1","1","87","58","39","","1862","1862","1862","","albidoflavus_J1074_R2_00324","","",""
"group_683","","hypothetical protein","1","1","1","1","511","53","59","","1862","1862","1862","","albidoflavus_J1074_R2_00334","","",""
"fabH1_1","","3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1","1","1","1","1","88","58","38","","959","959","959","","albidoflavus_J1074_R2_00325","","",""
"fabH1_2","","3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1","1","1","1","1","512","53","58","","959","959","959","","albidoflavus_J1074_R2_00333","","",""
"fabH_2","","3-oxoacyl-[acyl-carrier-protein] synthase 3","1","1","1","1","89","58","37","","1034","1034","1034","","albidoflavus_J1074_R2_00326","","",""
"fabH_5","","3-oxoacyl-[acyl-carrier-protein] synthase 3","1","1","1","1","513","53","57","","1034","1034","1034","","albidoflavus_J1074_R2_00332","","",""
"group_688","fabG_2","3-oxoacyl-[acyl-carrier-protein] reductase FabG","1","1","1","1","90","58","36","","794","794","794","","albidoflavus_J1074_R2_00327","","",""
"group_689","fabG_3","3-oxoacyl-[acyl-carrier-protein] reductase FabG","1","1","1","1","514","53","56","","794","794","794","","albidoflavus_J1074_R2_00331","","",""
"group_69","ramA","ABC transporter ATP-binding protein RamA","1","1","1","1","638","23","2","","440","440","440","","","","albidoflavus_UYFA156_00359",""
"fabH_3","","3-oxoacyl-[acyl-carrier-protein] synthase 3","1","1","1","1","91","58","35","","1010","1010","1010","","albidoflavus_J1074_R2_00328","","",""
"fabH_4","","3-oxoacyl-[acyl-carrier-protein] synthase 3","1","1","1","1","515","53","55","","1010","1010","1010","","albidoflavus_J1074_R2_00330","","",""
"group_692","","hypothetical protein","1","1","1","1","112","53","73","","770","770","770","","albidoflavus_J1074_R2_00349","","",""
"group_693","","Putative transport protein","1","1","1","1","113","53","74","","1139","1139","1139","","albidoflavus_J1074_R2_00350","","",""
"group_694","","hypothetical protein","1","1","1","1","114","53","54","","2324","2324","2324","","albidoflavus_J1074_R2_00351","","",""
"aspS","","Aspartate--tRNA(Asp/Asn) ligase","1","1","1","1","115","53","53","","1784","1784","1784","","albidoflavus_J1074_R2_00352","","",""
"group_696","","hypothetical protein","1","1","1","1","116","53","52","","254","254","254","","albidoflavus_J1074_R2_00353","","",""
"group_697","","hypothetical protein","1","1","1","1","117","53","51","","551","551","551","","albidoflavus_J1074_R2_00354","","",""
"group_698","","hypothetical protein","1","1","1","1","118","53","50","","890","890","890","","albidoflavus_J1074_R2_00355","","",""
"group_699","","hypothetical protein","1","1","1","1","119","53","49","","656","656","656","","albidoflavus_J1074_R2_00356","","",""
"group_7","eryA","6-deoxyerythronolide-B synthase EryA2, modules 3 and 4","1","1","1","1","205","5","7","","800","800","800","","","","albidoflavus_UYFA156_00108",""
"group_700","","hypothetical protein","1","1","1","1","120","53","48","","443","443","443","","albidoflavus_J1074_R2_00357","","",""
"group_701","","hypothetical protein","1","1","1","1","121","53","47","","395","395","395","","albidoflavus_J1074_R2_00358","","",""
"group_702","","hypothetical protein","1","1","1","1","122","53","46","","980","980","980","","albidoflavus_J1074_R2_00359","","",""
"btuD_3","","Vitamin B12 import ATP-binding protein BtuD","1","1","1","1","123","53","45","","2033","2033","2033","","albidoflavus_J1074_R2_00360","","",""
"group_704","","hypothetical protein","1","1","1","1","124","53","44","","284","284","284","","albidoflavus_J1074_R2_00361","","",""
"tagU","","Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU","1","1","1","1","125","53","43","","1544","1544","1544","","albidoflavus_J1074_R2_00362","","",""
"group_706","","hypothetical protein","1","1","1","1","126","53","42","","665","665","665","","albidoflavus_J1074_R2_00363","","",""
"group_707","","hypothetical protein","1","1","1","1","606","51","51","","1076","1076","1076","","","albidoflavus_SM254_00001","",""
"group_708","nreC_1","Oxygen regulatory protein NreC","1","1","1","1","607","51","52","","659","659","659","","","albidoflavus_SM254_00002","",""
"group_709","","hypothetical protein","1","1","1","1","608","51","53","","1355","1355","1355","","","albidoflavus_SM254_00003","",""
"ramC_3","","putative SapB synthase","1","1","1","1","571","42","1","","1103","1103","1103","","","","albidoflavus_UYFA156_00356",""
"group_710","","hypothetical protein","1","1","1","1","609","51","54","","506","506","506","","","albidoflavus_SM254_00004","",""
"group_711","","hypothetical protein","1","1","1","1","610","51","55","","1232","1232","1232","","","albidoflavus_SM254_00005","",""
"group_712","","hypothetical protein","1","1","1","1","611","51","56","","752","752","752","","","albidoflavus_SM254_00006","",""
"murF","","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","1","1","1","1","612","51","57","","1388","1388","1388","","","albidoflavus_SM254_00007","",""
"group_714","","hypothetical protein","1","1","1","1","613","51","58","","929","929","929","","","albidoflavus_SM254_00008","",""
"group_715","","hypothetical protein","1","1","1","1","614","51","59","","1103","1103","1103","","","albidoflavus_SM254_00009","",""
"hchA","","Protein/nucleic acid deglycase HchA","1","1","1","1","615","51","60","","716","716","716","","","albidoflavus_SM254_00010","",""
